"start","end","text"
"270","1730"," My name is David Andre and here's how"
"1730","3370"," to build anything with grok3."
"3570","6710"," Yesterday, XAI released grok3, a new AI model"
"6710","7870"," that's really good."
"8010","9670"," In fact, it might be the best AI"
"9670","11930"," model in the world, because it currently is"
"11930","14930"," number one on the chatbot arena, defeating all"
"14930","16910"," the other state-of-the-art large language"
"16910","17250"," models. "
"17570","19350"," So in this video, I'll show you how"
"19350","21690"," you can use grok3 to build anything with"
"21690","23550"," it, even if you're a complete beginner."
"23730","26030"," Real quick, my AI tool, Vectal, is now"
"26030","26250"," free."
"26450","27870"," So if you want to have access to"
"27870","30670"," O3mini, DeepSeek R1, and all the other AI"
"30670","33310"," agents Vectal has to offer for free, go"
"33310","34630"," to vectal.ai and sign up. "
"34750","36050"," So this is what the results are like."
"36090","38070"," It's actually best in every single category."
"38210","42130"," Hard prompts, coding, math, creative writing, grok3 defeats"
"42130","43930"," all the other models, whether it's GPD 4 "
"43930","46830",".0, Gemini 2.0, or even DeepSeek R1. "
"46970","49430"," Also, the other benchmarks look really, really good."
"49590","51110"," So we can see this is grok3 under"
"51110","54310"," grok3mini and on math, science, and coding, it"
"54310","56430"," defeats all the other top AI models."
"56570","59090"," Now, the rise of XAI, the company behind"
"59090","61430"," grok3, has been just amazing to watch. "
"61730","63650"," On this chart, you can see that in"
"63650","65070"," less than two years, right, they started in"
"65070","67070"," the middle of 2023, they've been able to"
"67070","68490"," catch up to open AI."
"68710","71370"," And recently, XAI built the world's most powerful"
"71370","74690"," AI supercomputer, and they've already managed to double"
"74690","76770"," the amount of GPUs since then to 200 "
"76770","77090",",000."
"77250","79230"," And this is what the data center looks"
"79230","79450"," like. "
"79730","83050"," It's based in Memphis, Tennessee, in America, and"
"83050","84930"," currently has 200,000 active GPUs."
"85010","86970"," And they managed to complete phase one, which"
"86970","90110"," is building the first 100K cluster in just"
"90110","91710"," 122 days."
"92170","94230"," And in a bit, you'll realize how insane"
"94230","94610"," that is. "
"94710","97450"," So how come did Elon and XAI manage"
"97450","99810"," to do this impossible feat in just four"
"99810","102650"," months, when other companies would take two years?"
"102830","103950"," Well, here's what it took."
"104310","107070"," We actually weren't intending to do a data"
"107070","107590"," center ourselves."
"107710","110070"," We went to the data center providers and"
"110070","111370"," said, how long would it take to have"
"111370","116050"," 100,000 GPUs operating coherently in a single"
"116050","116470"," location?"
"116810","119390"," And we got timeframes from 18 to 24"
"119390","119790"," months. "
"120210","122310"," So like, well, 18 to 24 months, that"
"122310","123830"," means losing as a certainty."
"124250","126270"," So the only option was to do it"
"126270","126990"," ourselves."
"127330","128570"," So we leased about a quarter of the"
"128570","130190"," mobile cooling capacity of the United States. "
"130350","132450"," Now grok3 will also have a feature called"
"132450","133090"," deep search."
"133230","135490"," Every single AI company is adding a deep"
"135490","136130"," research feature."
"136250","139290"," However, Elon has one distinct advantage, data from"
"139290","140170"," X, aka Twitter. "
"140310","142310"," This makes grok3 the perfect tool for real "
"142310","144030","-time search, since it can include tweets."
"144190","145650"," But you'll see in a moment just how"
