"start","end","text"
"170","1550"," Have you ever seen those mobile game ads"
"1550","1970"," in GORN?"
"2030","3790"," This game looks so shi- I bet"
"3790","5390"," I could make this in like, one hour."
"5550","6890"," Well, uh, I have."
"7350","8070"," Let's do it!"
"8150","9390"," The rules of this challenge are simple. "
"9510","11230"," I have exactly 60 minutes to get as"
"11230","12470"," close as possible to the game."
"12550","14210"," I've found three different mobile games, and I'm"
"14210","15410"," gonna see how close I can get to"
"15410","16610"," each of them within an hour."
"23970","26010"," Alright, the first game is this piece of"
"26010","27610"," shi- It's called Countmasters. "
"27610","29270"," And if you already knew that, then that's"
"29270","30070"," really sad."
"30250","31750"," This is the poster boy for shi-ty"
"31750","32390"," mobile games."
"32490","33330"," It's a classic. "
"33470","34530"," I'm sure you've seen it around."
"34690","36010"," Alright, new Unity scene."
"36510","37150"," New timer. "
"37430","38230"," Let's do this."
"38550","39830"," Okay, ah, I forgot it starts right away."
"39930","41770"," Alright, let's start with a platform to run"
"41770","41930"," on. "
"42030","42370"," Okay, great."
"42450","44230"," And now we need a character to do"
"44230","45110"," the- to run."
"45430","46270"," To be the runner. "
"46690","48030"," Oh, shi- She's zooming!"
"48270","50650"," Me when your ma- Me when your"
"50650","51910"," mom is- Okay."
"53390","53750"," Boom."
"54470","56070"," Yes, okay, we've got a running guy. "
"56550","57470"," Oh, excellent."
"57770","58950"," Now we need to set up a navmesh,"
"59010","61070"," which is Unity's pathfinding shi- That just"
"61070","62810"," helps our guys move together and follow like"
"62810","63610"," a central point."
"64670","65070"," Okay, please. "
"65250","65490"," Yes!"
"65810","66130"," Yes!"
"66770","67950"," Okay, okay, okay, okay."
"68530","70250"," And then if I move the sphere around,"
"71010","72090"," it should run towards the sphere."
"72430","73830"," Yes, it's all covered together. "
"74170","75710"," Now we just have to move the sphere"
"75710","77230"," down the thingy, and they should follow."
"82550","82990"," Okay."
"84250","85570"," We got a game going. "
"85570","86370"," Hell yeah."
"88130","89170"," Easy, easy."
"89550","91330"," Okay, uh, it's gate time. "
"91450","92690"," It's fucking gate time, boys."
"106110","107430"," Alright, let's run this bitch."
"107930","109590"," Uh, times- Okay, that was a fucking"
"109590","110630"," useless test. "
"111230","113410"," Okay, times two should spawn another guy-"
"113410","113990"," Ah, okay."
"114710","115670"," Nope, sad."
"121550","125970"," I think you- Alright, alright. "
"126490","127050"," That's fair."
"127169","128030"," That's fair enough."
"142290","143030"," Times ten?"
