"start","end","text"
"10","1930"," Hey, it's Clay at ClayTrader.com."
"2150","3830"," I am gonna be your guide here through"
"3830","6830"," futures trading at a very beginner level and"
"6830","7810"," a very basic level."
"8050","9390"," So I wanna quickly just tell you who"
"9390","11070"," this is for because I don't wanna waste"
"11070","11610"," your time."
"12050","14910"," If you are looking for the mathematical theory"
"14910","17250"," of things, if you're looking for all the"
"17250","20510"," different nooks and crannies of how the futures"
"20510","24610"," markets work from the mathematical standpoint, you're probably"
"24610","25570"," gonna be disappointed. "
"25770","28270"," If you're looking for just, listen, I wanna"
"28270","29890"," trade futures, I wanna know how do I"
"29890","30910"," make money from futures."
"31250","33190"," Sure, I wanna know some broad aspects of"
"33190","35530"," how the futures market works, what actually it"
"35530","35790"," is."
"35950","37350"," From a broad sense, yeah, I wanna know"
"37350","37530"," that. "
"37610","40610"," But I'm more here for the practical, real "
"40610","43370","-world type applications, not a bunch of theory,"
"43810","46970"," not a bunch of just mathematical equations that"
"46970","48790"," I'd learn in some sort of textbook."
"49050","53290"," I wanna just know futures, sure, but I"
"53290","54990"," wanna know how do you make money in"
"54990","55310"," the market?"
"55410","56070"," How do they work?"
"56350","58170"," How will they put profit in my pocket?"
"58170","59990"," If that's more of your mindset, then this"
"59990","60690"," will be for you."
"60790","62850"," But again, if you're somebody that's looking for"
"62850","65610"," the mathematical theory of it all, then you're"
"65610","66830"," probably gonna be disappointed. "
"67270","68130"," So keep that in mind."
"68370","69750"," And maybe you're on the fence, do I"
"69750","70650"," even wanna learn futures?"
"71130","73350"," One of the biggest benefits futures do allow"
"73350","75530"," for people is that it is a way"
"75530","77070"," around the pattern day trading rule."
"77450","80150"," So perhaps you're kinda stumbling around with that,"
"80210","81490"," you're a little bit frustrated with it. "
"81830","84850"," Futures trading does not have to, it doesn't"
"84850","85850"," fall under those regulations."
"85850","87930"," So that's one thing that I would just"
"87930","89530"," kinda throw out there that may get you"
"89530","92170"," interested into the markets and wanna learn more"
"92170","92530"," about them."
"92610","94270"," So with that being said, let's go to"
"94270","96350"," my desktop and let's get this course and"
"96350","97230"," class started. "
"97890","98930"," Welcome to my desktop."
"99290","100990"," Before anything else, we need to take a"
"100990","102290"," very wise approach to all this."
"102570","104310"," And the wise approach would be, well, let's"
"104310","106710"," just figure out what the futures market even"
"106710","107030"," is. "
"107390","108410"," What's the purpose of it?"
"108790","109830"," What is going on?"
"109930","112490"," How is it interacting with the general markets"
"112490","113190"," as a whole?"
"113590","115390"," And once we know that, well, let's start"
"115390","116290"," to make money from it."
"116390","118230"," But like I said, if we're gonna make"
"118230","120070"," money from the futures market, it would probably"
"120070","122310"," be wise to at least know what the"
"122310","124150"," futures market is in the first place."
"124350","125570"," So that's what we're gonna do here with"
"125570","128130"," this first class, establish a good solid framework"
"128130","130430"," and foundation from which we can build upon"
"130430","132390"," and then eventually start to make money from. "
"133390","134890"," But let's just start, like I said, at"
"134890","137190"," the ground floor and let's look at some"
"137190","138030"," definitions here."
"138290","140670"," So let's grab our trusty Merriam-Webster dictionary"
"140670","142070"," and look at each of these words."
"142070","143210"," So the first being future. "
"143310","144930"," What does future actually mean?"
"145330","147430"," Well, it's something that will exist or happen"
"147430","148310"," at a later time."
"148610","150590"," The two key components there being something."
"151070","152430"," So, okay, something is what?"
"152750","154210"," Happening at a later time. "
"154450","155790"," And we'll get to more of that as"
"155790","156170"," we go."
"156410","157510"," And then the next part is just a"
"157510","157770"," market."
"158310","159870"," And a market is a meeting together of"
"159870","161290"," people for the purpose of trade. "
"161370","163010"," What we're concerned about and what we're gonna"
"163010","166050"," look at is a meeting together of people."
"166570","168050"," So future market, just something."
"168490","170190"," And this something's happening at a later time. "
"170190","172190"," And this is all being based within a"
