"start","end","text"
"180","2300"," I've spent the last year making free games"
"2300","4340"," for itch.io, and I'm starting to realize"
"5080","6520"," this isn't sustainable."
"6980","8820"," I can't survive off game jams and nice"
"8820","9260"," comments."
"9460","11520"," It's time to start making some serious money"
"11520","12120"," out of this. "
"12840","14260"," I wish I was one of the cool"
"14260","16540"," indie developers on Steam, but for that you"
"16540","18880"," need a unique and cool looking game, and"
"18880","19800"," I don't have one."
"21220","23560"," I also need the money before Christmas to"
"23560","25020"," be able to buy gifts for my friends"
"25020","27220"," and family, so I guess my only option"
"27220","29940"," left is a free-to-play casual mobile"
"29940","30340"," game."
"30900","33060"," Yeah, this is where the real top dogs"
"33060","33560"," operate. "
"34040","37040"," Fast development cycles, no nonsense game lore, just"
"37040","38760"," a raw, simple game loop."
"39400","41200"," After that, you sprinkle your game with some"
"41200","43880"," ads and you can now buy all the"
"43880","45580"," things your parents wished for Christmas."
"45920","47400"," If you do a little bit of googling,"
"47600","49260"," you can see that the mobile game markets"
"49260","51480"," make billions of dollars each year. "
"51480","53780"," Okay, but we still need a game, and"
"53780","55420"," I happen to have one in the making"
"55420","57360"," as you who watched the last devlog know"
"57360","57700"," about."
"58220","60140"," The game is a simple endless runner with"
"60140","62100"," a one-touch-and-hold control for the"
"62100","64140"," player to make turns, and the only thing"
"64140","66040"," to worry about is to not crash into"
"66040","68080"," obstacles or going down the slope edge."
"68420","70460"," And since mobile free-to-play games are"
"70460","72660"," fairly simple, I think this kind of gameplay"
"72660","73820"," can be a perfect fit. "
"74500","76060"," The game is a mashup of all my"
"76060","78160"," favorite aspects with casual free-to-play games,"
"78480","80320"," a little bit of chill-vibe from Alto's"
"80320","83120"," Adventure, and short game sessions like Jetpack Your"
"83120","84480"," Ride or Subway Surfers."
"84880","86580"," Something you can pick up when waiting for"
"86580","88180"," the bus, or just give your life a"
"88180","90060"," little bit of silver lining when doing your"
"90060","90460"," business."
"90920","93100"," A good visual style is important and leads"
"93100","95020"," to more downloads on the app stores, and"
"95020","96420"," as some of you pointed out in the"
"96420","98700"," comments, the colors right now is too bright"
"98700","100260"," and a bit hurtful for your eyes. "
"102330","104170"," So I made a quick mockup for a"
"104170","105650"," new background and visual design."
"109570","111670"," I also modeled some new segments for the"
"111670","114050"," slope and removed the skiers and replaced them"
"114050","115450"," with a ball to save some time."
"115810","117010"," Let me know if you think I should"
"117010","119030"," bring back the skiers as skins in future"
"119030","119990"," update of the game. "
"120690","122830"," The game was lacking good sound effects and"
"122830","124710"," music, so I went to the best place"
"124710","127270"," on the internet for that purpose, freesounds.org,"
"127330","128270"," and picked some sounds."
"128490","130790"," I also added relaxing music to get that"
"130790","133310"," nice zen atmosphere I was aiming for, and"
"133310","135790"," created a Respawn ability to use after a"
"135790","136130"," crash."
"137390","139190"," The whole point here is to make money,"
"139450","140450"," so we need ads. "
"140850","142750"," And to not go full on evil I"
"142750","144530"," will integrate the ads in a way that"
"144530","146010"," they are optional for the player."
"146270","148570"," For this purpose I will only use rewarded"
"148570","148950"," ads."
"149450","151310"," Rewarded ads are used to give something in"
"151310","153190"," return to the player, like a chance to"
"153190","155270"," respawn and keep playing after death or get"
"155270","157170"," a new skin or character to play with. "
"157390","159510"," And this was pretty easily integrated into the"
"159510","161210"," game loop with the Unity Ads tool."
"161210","163290"," In this game, since it is an endless"
"163290","165830"," runner with a quite steep difficulty curve, the"
"165830","168050"," most obvious place for the rewarded ads option"
"168050","170150"," are after a crash, and this is where"
"170150","172050"," the respawn ability comes into play."
"172410","173990"," So far I have only tested the game"
"173990","176130"," on my computer, and since it is supposed"
"176130","177870"," to be a mobile game I ported it"
"177870","178390"," to Android. "
"178690","181010"," Luckily this is a very straightforward process in"
"181010","183330"," Unity, as surprisingly it worked on my Samsung"
"183330","184310"," phone right away."
"184690","186410"," And for all of you poor people with"
"186410","189090"," iPhones, sorry, too expensive for my budget."
"189490","191270"," Maybe when the money starts rolling in, I"
"191270","191610"," don't know. "
"191990","193830"," When the complete game loop started to feel"
"193830","196370"," somewhat solid, I tweaked the difficulty curve on"
"196370","197210"," the obstacle spawning."
"197590","199670"," I may have made the difficulty curve a"
"199670","201670"," little bit too steep, cause none of my"
"201670","203970"," friends have beaten the 100 meter mark yet,"
"204370","206530"," but they are kinda bad at games, and"
"206530","208210"," I'm pretty sure that some of you here"
"208210","211390"," can beat my personal best at 891 meters."
"211830","213290"," If any one of you do, I will"
"213290","214630"," salute you in the next devlog. "
"214870","216230"," Put your score in the comments and let"
"216230","216710"," me know."
"217150","218790"," Alright, everything worked, sort of."
"218930","220930"," Let's upload the game to Google Play Store"
"220930","222330"," and start making some money. "
"222790","224890"," After setting up the developers account on Google"
"224890","227950"," Play Store, creating an app icon, gameplay screenshots,"
"228290","231490"," feature graphics, I could finally start uploading my"
"231490","231750"," game."
"231970","233070"," Or so I thought."
"233370","234930"," What are all those questions?"
"235570","237150"," Swastikas or Nazi symbols?"
"237450","239390"," Ah wait, I hope I didn't by mistake. "
"239910","240350"," Sexuality?"
"240490","241550"," No, not this time."
"242990","243430"," Terrorists?"
"246010","248230"," To have any chance to get some visibility"
"248230","250330"," on Google Play Store, I deep dive into"
"250330","252550"," the wonderful world of ASO."
"252690","253130"," Just kidding. "
"253290","254550"," Let's publish and hope for the best."
"254790","256370"," Okay guys, I did my part here."
"256570","257750"," Start downloading the game. "
"257950","259730"," It's free, and there's a link down below."
"259930","261470"," Leave a nice review for the game on"
"261470","263410"," the Google Play Store, and watch some ads."
"263750","265570"," I will share the revenue and the statistics"
"265570","266970"," for the app in the next devlog. "
"267210","268330"," Until then, bye. "
