"start","end","text"
"4790","7890"," Before we get into option trading strategies and"
"7890","10450"," all the technicals, let's talk about the basic"
"10450","12870"," definition of options and why they even exist"
"12870","13830"," in the first place."
"14250","15810"," So what is an option?"
"16310","18530"," An option is a contract that you can"
"18530","21070"," purchase that gives you the right to buy"
"21070","23910"," or sell stock at an agreed price on"
"23910","25670"," or before a particular date."
"26370","28830"," Now you can also sell an option contract"
"28830","30910"," where you would be selling this right to"
"30910","33330"," someone and collecting a premium for it. "
"33950","37030"," Okay, I'm sure that sounded very confusing, especially"
"37030","38990"," if this is new to you, but just"
"38990","40690"," bear with me as we get through a"
"40690","41690"," few more definitions."
"42270","44090"," Once we get through these definitions, we'll be"
"44090","45890"," able to show you some examples and it"
"45890","47310"," will all start to make sense."
"47730","49990"," But go ahead and take notes and write"
"49990","52290"," down these definitions so you can refer back"
"52290","54010"," to them during the rest of this course"
"54010","54870"," if you need to. "
"55590","58690"," Okay, there are two types of options, calls"
"58690","59630"," and puts."
"60030","62830"," A call option gives the option holder the"
"62830","66330"," right, but not the obligation, to buy shares"
"66330","69030"," of stock at an agreed-upon price on"
"69030","70670"," or before a particular date."
"71370","73270"," And a put option is the same thing,"
"73650","75550"," except it gives the option holder the right"
"75550","77610"," to sell shares of stock at an agreed "
"77610","80270","-upon price on or before a particular date. "
"81070","83690"," And the agreed-upon price is what we"
"83690","86690"," refer to as the strike price, and the"
"86690","89010"," particular date is what we refer to as"
"89010","91150"," the option's expiration date."
"92290","93850"," Now, we got those out of the way,"
"93930","96190"," but in layman's terms, let's say you bought"
"96190","98630"," a call option, so you're the option holder,"
"99330","101550"," and the strike price of this call option"
"101550","104910"," is $120 and it expires in 30 days."
"105490","108230"," Owning this call option will allow you to"
"108230","111610"," purchase the stock at $120 anytime during the"
"111610","113950"," next 30 days, no matter where the stock"
"113950","114290"," goes. "
"114810","116790"," So, if the stock goes up to $135"
"116790","119390"," within the next 30 days, then fortunately for"
"119390","121410"," you, you own a call option that allows"
"121410","123990"," you to buy stock at $120 even though"
"123990","126850"," the stock is currently trading at $135."
"127430","129650"," Now, instead of a call, let's say you"
"129650","131650"," bought a put option with a strike price"
"131650","134190"," of $120 that expires in 30 days."
"134570","137090"," This will allow you to sell the stock"
"137090","140490"," at $120 anytime during the next 30 days,"
"140730","142230"," no matter where the stock goes. "
"142790","144730"," This is cool because what if the stock"
"144730","147050"," tanks down to $100 per share?"
"147670","150090"," Well, you own a put option that gives"
"150090","152170"," you the right to sell stock at $120"
"152170","155650"," even though the current market value is $100."
"156290","158370"," So, you have a much better sale price"
"158370","160470"," than if you were to just sell stock"
"160470","162210"," at the current market value."
"162690","166070"," Okay, simple enough, but why might someone actually"
"166070","167650"," want to purchase an option?"
"168390","170590"," First, we're going to explain to you why"
"170590","172330"," you might want to buy a put option,"
"172750","174650"," which if you remember, would give you the"
"174650","176690"," right to sell stock at a certain price"
"176690","178810"," on or before a particular date. "
"179310","181690"," And let's put this in terms anyone can"
"181690","182290"," understand."
"183010","185030"," Let's say you just bought your dream car."
"185330","187830"," You just bought a new Ferrari, and to"
"187830","190350"," protect this Ferrari, you're going to need insurance. "
"190930","193410"," So, you go to Flow from Progressive, and"
"193410","194210"," you purchase insurance."
"194910","197990"," This financially protects your new Ferrari in case"
"197990","199050"," you get into a crash."
"199610","202030"," And this is the exact same concept as"
"202030","202590"," options. "
"203630","206370"," Now, instead of a car enthusiast, let's say"
"206370","208650"," you were an investor, and you just bought"
"208650","213250"," 100 shares of XYZ stock at $125 per"
"213250","213630"," share."
"214110","216530"," So, the total cost of this investment is"
"216530","217970"," $12,500."
"218950","221950"," We all know that stock prices fluctuate, and"
"221950","224230"," stocks can even go to zero if something"
"224230","225330"," catastrophic happens. "
"225870","228170"," So, your total risk on this investment is"
"228170","230250"," technically $12,500."
"231630","233990"," Now, just like we purchased insurance on the"
"233990","237150"," Ferrari, we can also purchase insurance on this"
"237150","237690"," investment."
"238130","240330"," We would do this by purchasing an option"
"240330","241010"," contract. "
"241310","243990"," Specifically, in this example, we would purchase what"
"243990","245330"," is called a put option."
"245750","248930"," By definition, buying a put option gives us"
"248930","252210"," the right, but not the obligation, to sell"
"252210","255110"," stock at an agreed upon price on or"
"255110","256589"," before a particular date."
"257430","258329"," Now, let's recap. "
"258630","260870"," You own stock, and you want to buy"
"260870","262510"," insurance on that stock investment."
