"start","end","text"
"430","2090"," Understanding technical analysis can mean the difference between"
"2090","3830"," buying here and buying here."
"3930","4990"," And that's why I've decided to create the"
"4990","7550"," Best Darn Beginners Guide to Technical Analysis on"
"7550","7970"," the Internet."
"8050","9790"," Starting with some very important terminology. "
"29750","32510"," above due to previous demand or price action."
"59750","61790"," That is, predicting the asset will go up"
"61790","62430"," in value."
"62550","64489"," Short position, the opposite of a long position. "
"64810","66990"," Entering a trade position, betting the asset will"
"66990","67950"," go down in value."
"68010","69650"," Don't worry if you're feeling lost already, we"
"69650","71630"," will break everything down even more."
"71730","72430"," A market order. "
"72750","74650"," In order to buy an asset or security"
"74650","77510"," immediately at the current market rate."
"77830","78350"," Limit order."
"78690","80130"," In order to buy an asset or security"
"80130","82230"," at a specified price or better. "
"82510","84090"," If you set a limit order to buy"
"84090","86530"," an asset at $5, your trade will not"
"86530","89710"," be initiated unless the price hits $5 or"
"89710","90210"," less."
"90370","91710"," These terms will help you with the learning"
"91710","93330"," process for the remainder of this video."
"93650","95170"," Now, let's go ahead and get you set"
"95170","95310"," up. "
"95610","96790"," The first thing you need to do is"
"96790","98290"," select your trading platform."
"98650","100510"," It's important to take your time on this"
"100510","102750"," because there's a lot of scam exchanges and"
"102750","105130"," exchanges that simply charge way too much in"
"105130","105470"," fees."
"105590","107790"," For trading cryptos, I'm personally a fan of"
"107790","108230"," KuCoin. "
"108330","110050"," If you're looking to trade stocks, I'm a"
"110050","111570"," big fan of Webull, as they have a"
"111570","113790"," really easy to use interface and some free"
"113790","114950"," stocks for signing up."
"114950","116570"," I'll have all the options linked in the"
"116570","117690"," description of this video."
"118150","119950"," After you've created your account, you'll need to"
"119950","122690"," understand what you're getting yourself into before entering"
"122690","125170"," any trades and risking your life savings. "
"125270","126650"," Please don't risk your life savings."
"126790","127270"," I don't understand."
"127389","128530"," Why would you buy a policy?"
"128630","130030"," It's just the cost of a cup of"
"130030","130870"," coffee an hour. "
"131090","132930"," I've seen people make millions trading, but I've"
"132930","134790"," also seen people lose everything."
"134970","137690"," So trade responsibly because no one can predict"
"137690","138170"," the future."
"138270","141230"," Technical analysis is just an additional tool in"
