"start","end","text"
"300","2780"," Algorithms, they're written by a programmer and they"
"2780","4520"," have to be written to go somewhere, okay?"
"4680","5920"," Where are they written to go?"
"6080","8180"," These technical areas that we're putting out, those"
"8180","10120"," algorithms are going to that as sure as"
"10120","12240"," we're having this conversation, there's no doubt."
"12500","14840"," They want to shake out the longs and"
"14840","16320"," they want to get people short and what"
"16320","17820"," do the smart people do that are on"
"17820","19720"," the bottom of these algorithms that are scooping"
"19720","20360"," this stuff up?"
"20460","22860"," They're feeding into these people, that's what algorithms"
"22860","23160"," do."
"23220","25260"," I'm able to take advantage of what they've"
"25260","26860"," given me, printing the money, man. "
"26940","28580"," That's what we do and we do it"
"28580","30880"," every day, hundreds of times."
"33920","36440"," In terms of market makers and hunting stops,"
"36720","38200"," there's a big thing in the retail space"
"38200","39880"," of like price hitting your stop loss and"
"39880","41900"," going completely the other way, people feeling very"
"41900","42360"," targeted."
"42500","44040"," I've heard you say that that is a"
"44040","45620"," case, that is something that does take place. "
"45740","47200"," Yes, you're 100% right."
"47360","50440"," I started focusing on the algorithms a very"
"50440","51260"," long time ago."
"51440","52820"," It wasn't my will, I was an agent. "
"52820","56340"," Algorithms are there to create volatility and liquidity."
"56560","58100"," They want to trap one of the trades"
"58100","60780"," that lose money 85-90% of the"
"60780","63220"," time is when you sell, fail, break down."
"63340","64519"," Those algorithms know that. "
"64640","66000"," You just know it and I know that"
"66000","67960"," those algorithms are going to make that print"
"67960","69860"," and they're programmed in to go to those"
"69860","70560"," strike places."
"70720","72580"," A lot of retail traders, they all make"
"72580","73480"," the same mistake."
"73620","75820"," The important thing is for retail traders is "
"75820","86000","- The"
"86000","87840"," number one podcast in the trading space, the"
"87840","89900"," fastest growing and that's thanks to every single"
"89900","90400"," one of you. "
"96320","98260"," Welcome back everyone to the Words of Wisdom"
"98260","98760"," podcast."
"98880","100140"," We are back once again and still the"
"100140","102440"," number one podcast in the trading space and"
"102440","103940"," the fastest growing thanks to all of you"
"103940","106420"," and our incredible guests, talking of which we"
"106420","108940"," have a true veteran with us today."
"109680","111460"," He first set foot on the New York"
"111460","114200"," Stock Exchange in 1965, so in one year's"
"114200","116040"," time that will make 60 years. "
"116420","119880"," Absolutely incredible the amount of knowledge that is"
"119880","121300"," going to be shared here with us today."
"121660","123500"," At one point he was responsible for 90 "
"123500","126220","% of the volume trade in IBM, which"
"126220","128759"," was almost 20% at one point of"
"128759","129560"," the S&P."
"129979","132340"," And I am proud and honored to announce"
"132340","134680"," that we have Richie Nasser with us today. "
"134940","136340"," Thank you so much for that."
"136500","137240"," I appreciate it."
"137560","139120"," I'm trying to work on my intros. "
"139820","141760"," Richie, it's an absolute honor, like I said."
"142320","143900"," Where we like to just start off with"
"143900","145800"," is sort of how you got into trading,"
"145900","148580"," like what were the mindset going into trading,"
"148640","150940"," especially at that time, you know, the New"
"150940","152040"," York Stock Exchange as well."
"152420","153320"," Where was your mindset?"
"153620","154980"," Why trading in the first place?"
"155260","156440"," It's pretty amazing. "
"157440","159300"," You know, first of all, I thank the"
"159300","162120"," good Lord, because I couldn't have carved out"
"162120","165600"," a better situation for myself without really knowing"
"165600","166400"," what I was doing."
"167480","169320"," You know, I started out in a typical,"
"169640","173120"," my family is a typical Italian family growing"
"173120","174560"," up in Queens, New York."
"174780","176260"," But I grew up in a very tough"
"176260","176700"," neighborhood. "
"177200","179560"," And although I was a very big sports"
"179560","182580"," fanatic in everything I did, at sometimes in"
"182580","185360"," high levels, like getting a scholarship to high"
"185360","186320"," school for basketball."
"187420","190780"," And, and so, you know, I formed many"
"190780","193820"," baseball teams and many softball teams and traveled"
"193820","196680"," around the tri-state area playing for money."
"197500","200800"," Okay, my family had bingo games going on"
"200800","203000"," at the end of Sunday dinners at my"
"203000","203920"," grandmother's house. "
"204220","205980"," You always, the kids always wanted to use"
"205980","208220"," their real money to play bingo with the"
"208220","208920"," older people."
"209440","209740"," Okay."
"210100","212220"," I grew up in, again, in a Queens"
"212220","215740"," neighborhood, a very tough Queens neighborhood, and pitched"
"215740","220820"," quarters against the wall, pitched, traded picture cards"
"220820","224680"," and flipped picture cards for money, played poker"
"224680","228880"," for money, played, played anything for money, played"
"228880","229280"," anything. "
"229820","232220"," I once sat in my basement at 15"
"232220","234500"," years old, and I'm prefacing this on a"
"234500","235460"," reason on purpose."
"236060","238060"," I once sat in my basement and had"
"238060","242040"," four decks of cards faced upside down backwards."
"242200","243720"," So I couldn't see what I was doing. "
"243980","246260"," I placed a baseball hat against the wall,"
"246900","248120"," okay, against the wall."
"248240","250840"," And I stood there for hours, days and"
"250840","253200"," hours and hours at a time, flipping those"
"253200","256079"," cards against the wall, and counting up what"
"256079","260519"," suit, what suit just fell into the hat."
"261060","262440"," Didn't know what I was flipping. "
"263060","264380"," At the end of the day, no matter"
"264380","267480"," what I did, the club suit always came"
"267480","268320"," out on top."
"269600","270480"," Gave me an edge."
"270960","271840"," I'm playing poker. "
"272220","274620"," If I'm playing contact poker, and I played"
"274620","276540"," with bookmakers, and I played with the best"
"276540","278460"," wise guys, I played with everybody."
"279220","280800"," But always clubs came out."
"281360","282740"," So if there were three clubs on the"
"282740","286260"," board in contact poker, and there was one"
"286260","287740"," card in the deck that had to be"
"287740","289720"," pulled out, and I had three, four clubs,"
"289880","291700"," three clubs and one on the board, and"
"291700","293460"," I needed a club, I know what I"
"293460","293860"," was doing. "
"294180","295820"," If I needed a diamond, I probably would"
"295820","296220"," have folded."
"296940","298320"," So that's the level."
"299180","301820"," And, you know, I had no real idea"
"301820","304500"," of what my future would be. "
"305240","308580"," And so it was unbelievable."
"309320","312380"," You know, the experience of winning and losing,"
"312700","313860"," you cannot replicate."
"314900","317300"," You know, I tell people on my sessions"
"317300","319540"," to this day, well, I'm going to go"
"319540","320300"," on a simp account. "
"320460","321640"," I'm going to go on a simp account."
"322240","323360"," I said, do yourself a favor."
"323460","324700"," You're not going to learn anything on a"
"324700","325240"," simp account. "
"325380","327260"," The reason you're not because you're not risking"
"327260","327760"," anything."
"328200","330200"," You've got to feel the emotions of risking."
"330200","333140"," You've got to feel what it is to"
"333140","333680"," lose. "
"334420","334760"," You can't."
"334860","336680"," Everything is not fun and games."
"337980","340460"," So anyway, it just meant it was a"
"340460","343500"," tremendous preparation for me to walk in there. "
"343980","347840"," You know, graduating high school, they all started"
"347840","350480"," in with the yearbooks and they all wrote"
"350480","352360"," the salutations of what they're going to be"
"352360","352760"," in life."
"352820","355320"," How they knew that at 17, I don't"
"355320","356540"," know, but they all knew it."
"356920","357800"," They all knew it. "
"358500","359120"," I had one line."
"359260","363120"," I put one, one, one word and that"
"363120","363780"," was business."
"364260","366420"," Did I know what business was that was,"
"366620","368840"," where it was, what kind of business it"
"368840","369100"," was?"
"369260","370440"," No, I didn't. "
