"start","end","text"
"4690","7530"," As a passive income investor, most of my"
"7530","10290"," portfolio is built on generating steady cash flow."
"10750","13090"," But I also hold a few growth stocks."
"13750","15630"," And the challenge with growth stocks is simple. "
"16110","18570"," They don't pay you anything, not unless you"
"18570","19130"," sell them."
"19810","23250"," There's no natural way to generate repeatable realized"
"23250","23710"," gains."
"24990","27270"," Over the past couple years, I've developed a"
"27270","30570"," disciplined swing trading strategy that solves that problem. "
"31150","33350"," It lets me use one of my growth"
"33350","35990"," stocks to create a flow of realized gains"
"35990","38550"," without disrupting my long term plan."
"39430","41790"," In this video, I'm going to show you"
"41790","44410"," the methods and rules I use to repeatedly"
"44410","48710"," extract capital gains during natural cycles while still"
"48710","50770"," staying invested in this stock."
"51630","54690"," At the same time, ensuring this strategy complements,"
"54990","58490"," not conflicts with my main passive income strategy. "
"59290","62430"," So if you've ever wondered how a passive"
"62430","65430"," income investor can successfully swing trade a growth"
"65430","67690"," stock, let me show you how I do"
"67690","68030"," it."
"69250","71370"," Please take note of the following disclaimers."
"71830","74310"," This channel does not provide financial investment or"
"74310","74890"," tax advice. "
"75470","77510"," I am not a licensed advisor or registered"
"77510","77970"," professional."
"78450","80530"," I am a retail investor sharing my personal"
"80530","83290"," opinions, experiences and lessons learned along the way."
"84270","86330"," Nothing in this video should be interpreted as"
"86330","87750"," advice or recommendations. "
"88630","91130"," Every viewer is responsible for their own research,"
"91550","92630"," decisions and outcomes."
"93370","95950"," Your financial situation is unique and you should"
"95950","98850"," always consider speaking with a qualified professional before"
"98850","100210"," acting on any information."
"101110","103290"," I might be right, wrong or somewhere in"
"103290","103550"," between. "
"104110","106470"," They are just my personal perspective as an"
"106470","107510"," individual investor."
"108430","110990"," As such, all content in this video is"
"110990","114610"," for education, discussion and entertainment purposes only."
"115550","118590"," Also note, past performance does not ensure future"
"118590","119110"," results. "
"119910","120370"," Thank you."
"124880","127280"," Alrighty, now that we've gotten through the disclaimer,"
"128340","131000"," those are all important disclaimers, so please take"
"131000","131540"," them seriously."
"132140","133220"," It's the first thing we need to do,"
"133560","135040"," which I do at every one of my"
"135040","137200"," presentations that are longer, is to provide you"
