"start","end","text"
"170","1650"," What if you could slow down the market"
"1650","4270"," and see exactly how an elite trader thinks"
"4270","6190"," and acts in real-time?"
"6330","8830"," No theory, just pure execution."
"9350","11190"," In this video, you're getting a slow-motion"
"11190","15230"," replay plus expert commentary of 10 different scalp"
"15230","17810"," trades taken directly from our trading desk."
"18010","19590"," I'm Mike Belafurie, and we're one of the"
"19590","22290"," top proprietary trading firms in the US, proud"
"22290","24570"," to have developed numerous 7 and even 8"
"24570","25490"," figure a year traders. "
"25490","28510"," We hope you agree you've found the right"
"28510","30390"," place to help grow your trading account."
"30690","33130"," Today we're slowing the market down so you"
"33130","34990"," can actually see what makes scalping work."
"35390","37310"," The timing, the patience, the execution. "
"37850","39950"," We're gonna look at 10 real scalps from"
"39950","40670"," one day."
"41030","42430"," We played in slow motion."
"43070","44530"," One of them I almost bailed on. "
"44610","45910"," One of them I sized like a pro"
"45910","46930"," with zero stress."
"47570","49890"," And one of them, well, it's my absolute"
"49890","50870"," favorite mistake."
"51250","52790"," Do you think you can spot which one's"
"52790","52950"," which?"
"53530","55430"," You're gonna listen for the little..."
"56070","57870"," That's when the moment for each of these"
"57870","58910"," trades shows up. "
"59390","61090"," I'll tell you exactly what I saw, why"
"61090","62610"," I pressed or why I waited."
"63170","64670"," Ten reps, one day."
"65130","67050"," By the end, you'll have the muscle memory"
"67050","68470"," to take these on your own. "
"69010","69410"," Are you ready?"
"69790","70210"," Let's roll."
"70630","73110"," The very first scalp is this failed breakout"
"73110","74810"," that occurred in NVIDIA, and it's actually a"
"74810","76490"," VWAP continuation trade."
"76910","78390"," We've been seeing this a lot lately. "
"78550","80050"," We're not sure if it means something bigger"
"80050","82490"," is happening in the market, but mega caps"
"82490","84330"," that move up into resistance with a first"
"84330","86510"," move up, and then they quickly fail after"
"86510","88070"," they look like they're about to break out."
"88370","90270"," It's really dangerous to stand in front of"
"90270","92670"," a possible breakout train, but in this case,"
"93010","94450"," and one of the things we've been seeing"
"94450","96330"," a lot lately is that the action will"
"96330","98930"," put in what we call this stuff scalp"
"98930","99730"," right at the high."
"100050","101330"," Looks like it's gonna break out and then"
"101330","102150"," you get a stuff scalp. "
"102630","104230"," Now, this isn't a trade we took."
"104430","105950"," It's not one of the ten, and it"
"105950","107990"," could have been, but the focus was somewhere"
"107990","109150"," else at this point in the day, and"
"109150","110150"," you'll see why in a minute."
"110450","113150"," What should happen after a name beats earnings"
"113150","115390"," and gets bid up after an initial bad"
"115390","118150"," response and earnings, and then breaks to the"
"118150","120250"," highs of a 10 or so day range. "
"120350","121170"," It should go, right?"
"121590","123630"," It should be a runner, but we're seeing"
"123630","125230"," this over and over in mega caps."
"125370","127610"," When it stuffs like this and then gets"
"127610","130050"," below VWAP, we can adjust with it."
"130710","131790"," The setup shifts. "
"132030","133870"," It fails to break out, and it's now"
"133870","135630"," this failed breakout setup."
"136090","138490"," All that enthusiasm for this turning into a"
"138490","141870"," runner immediately shifts to unease as the profits"
"141870","143310"," get taken in this name."
"143630","145870"," We don't want to hit the lows, but"
"145870","147610"," we can look to short up into the"
"147610","147810"," pops. "
"148110","150470"," So just let the moment get presented for"
"150470","153690"," you and look for a possible VWAP continuation"
"153690","154490"," trade."
"155050","156370"," There it is, that 941."
"156810","158970"," The stop goes above the high of that"
"158970","159270"," move. "
"159550","161890"," We enter after the change in character when"
"161890","164630"," the candle closes below the prior two candles"
"164630","165090"," low."
"165750","168010"," Our target, four points."
"168470","169890"," It's about the best we should look for"
"169890","172150"," because it's a measured move from that initial"
"172150","174490"," high all the way down, and it winds"
"174490","175190"," up getting there. "
"175450","176310"," I kind of pieced out."
"176430","177870"," I honestly didn't know what to think of"
"177870","177990"," it."
"178150","180290"," It seemed to happen almost too quickly, so"
"180290","182350"," I took half off early into the flush"
"182350","183930"," into that 179 area. "
"184590","187530"," It's definitely a mistake because the thing worked"
"187530","188430"," so quickly."
"188430","190730"," I could have and should have been focused"
"190730","193370"," on using that two-bar trail there since"
"193370","195070"," it was in the momentum part of the"
"195070","195430"," move."
"195870","198070"," It was still a really solid trade, but"
"198070","199690"," there's so much room for improvement. "
"200050","201270"," There always is."
"202350","205130"," Okay, not all of these remaining nine scalps"
"205130","207530"," from the same day will be this clear"
"207530","210130"," or this clean or even all work."
"210490","212710"," A couple of them start to fail and"
"212710","215150"," almost miserably, and you'll actually see those. "
"215150","217290"," But we're slowing this down so you can"
"217290","219410"," see what the pros really look at, that"
"219410","221930"," timing, patience, and execution."
"222830","225470"," So let's start and set some ground rules"
"225470","226510"," for the day together."
"226970","229370"," We're looking at 10 price action scalps. "
"229730","231130"," Each scalp has to be one of them"
"231130","231830"," for my playbook."
"232530","234950"," Some you might already be familiar with, some"
"234950","235510"," might be new."
"235750","239010"," But finally, our most important rule, there cannot"
"239010","240550"," be any revenge trades. "
"240550","243490"," If you ever notice yourself making revenge trades,"
"243490","245270"," this has to be one of your goals."
"245890","247430"," No revenge trades."
"248170","250050"," If you wind up making revenge trades, you"
"250050","251710"," can start to make 20 or 30 scalps"
"251710","253470"," in a day and really get nowhere. "
"253910","256810"," If something works out or it doesn't, that's"
"256810","256970"," it."
"257350","257730"," Move on."
"258209","259970"," It doesn't mean move on from the symbol. "
"260110","262330"," It just means move on from that trade."
"262810","264710"," A key you will hear from me through"
"264710","267610"," this video is what might be setting up"
"267610","268190"," next."
"268750","270250"," That's something you want to think about. "
"270650","271650"," We're looking back at Nvidia."
"272210","273790"," That was a hard move lower."
"274130","275690"," That was a consistent move lower. "
"276830","278050"," But the name still beat earnings."
"278690","280290"," The name still up a decent amount."
"281210","283370"," We kind of might be thinking about some"
"283370","285990"," sort of long that might set up because"
"285990","288090"," this stocks more likely to somewhat be in"
"288090","288410"," range. "
"288990","289150"," All right."
"289210","290350"," We don't really have that much time."
"290470","291510"," So we're going to jump right into the"
"291510","295090"," next scalp, which actually occurred right at the"
"295090","297170"," beginning of the day, even before that VWAP"
"297170","298810"," continuation trade we already showed. "
"299310","300330"," And we're going to look at a stock"
"300330","302050"," that played out in a way that was"
"302050","305090"," kind of frustrating on day one, but it"
"305090","306750"," made a lot more sense on day two."
"307390","307530"," All right."
"307710","309690"," So this is a day two continuation. "
"310050","311990"," It's a puppy dog scalp right on the"
"311990","313430"," open right at 932."
"314450","316650"," Actually, the day before on this, I hit"
"316650","318530"," out when the trade didn't work the way"
"318530","319150"," I expected."
"319530","320990"," And I sort of made a big mistake"
"320990","322950"," by losing sight of it when it made"
"322950","325570"," this epic breakout move and this had this"
"325570","328330"," amazing trend in the afternoon after I had"
"328330","329770"," exited the trade, of course, right?"
"330270","332550"," But because of the sustained nature of the"
"332550","334670"," buying on day one, we put it on"
