"start","end","text"
"180","2380"," Famously, I read on Twitter that you turned"
"2380","6580"," $3,000 into $1.6 million in less"
"6580","7400"," than two years."
"8040","8400"," That's right."
"8880","12060"," Because if you're trading on scared money, it"
"12060","13220"," probably won't handle well. "
"13300","14720"," There's a lot of pressure and it could"
"14720","15059"," crumble."
"15520","17540"," Yeah, and scared money don't make money."
"18000","19260"," And if you're trying to make the jump"
"19260","21440"," from a 9-5 person to a full "
"21440","23420","-time trader, then you need to make it"
"23420","25860"," worth your while with enough capital earned on"
"25860","26500"," these plays. "
"27060","30340"," How to create a highly profitable trading system."
"30760","32620"," Today, we're going to be learning from Chris"
"32620","35680"," Verma, a very profitable systematic trader."
"36360","39000"," Chris has been inspiring many other traders through"
"39000","42240"," sharing his knowledge and trading executions on Twitter. "
"42980","46220"," He famously turned $3,000 into $1.6"
"46220","48580"," million in less than two years."
"48780","51100"," I'm really honored today to have Chris on"
"51100","53400"," the Humble Traders podcast to teach you his"
"53400","55660"," strategies and systematic approach."
"55660","58520"," If you're serious about becoming a better trader,"
"59020","61580"," this episode today will answer some of your"
"61580","65060"," biggest trading concerns, such as how to create"
"65060","68200"," a profitable trading system, how to become more"
"68200","71820"," consistent with your executions, how to backtest your"
"71820","75620"," strategies and improve your executions, Chris's opinion on"
"75620","79000"," automated trading, and how to overcome a losing"
"79000","80180"," streak as a trader. "
"80540","82520"," It takes us a lot of time to"
"82520","85160"," organize and plan these trading lessons for you."
"85160","86940"," So if you're learning a lot from these"
"86940","89620"," videos, please make sure to smash the like"
"89620","92220"," button and don't forget to share this lesson"
"92220","93400"," with your trading partners."
"99760","100720"," Welcome, Chris. "
"100820","101840"," Welcome to the show."
"102040","102620"," Thank you, Shae."
"102980","103760"," Pleasure to be here. "
"103960","106580"," I'm glad we finally can make this happen."
"106860","108060"," Yeah, it's been a long time."
"108240","110960"," Yeah, I've been following you on Twitter for"
"110960","113860"," a while because I think everyone, including your"
"113860","116780"," followers, they know you as a very systematic"
"116780","118160"," trader, right?"
"118180","119540"," And that's how you found a lot of"
"119540","120600"," your trading success. "
"120760","121380"," That's right."
"121500","123280"," How long have you been trading systematically?"
"124420","126440"," I would say about six years now."
"127100","127539"," Oh, wow. "
"127720","127940"," Yeah."
"128500","130100"," But I started with more of a discretionary"
"130100","130420"," approach."
"130720","132880"," And I think that once I found success"
"132880","134660"," with a systematic approach, it just kind of"
"134660","135020"," stuck. "
"135460","135660"," Okay."
"136060","138560"," So how many years did you, into your"
"138560","140600"," trading journey, you said six years, did you"
"140600","145820"," actually transitioned into tracking everything and becoming more"
"145820","147460"," systematic with your trading approach?"
"148360","150340"," Well, I think it starts with backtesting for"
"150340","150540"," me."
"151080","153240"," To find conviction in a trade, I need"
"153240","155760"," to have the data to support the actions"
"155760","156360"," that I'm taking. "
"156940","158700"," So when I first started as a discretionary"
"158700","160180"," trader, I was more or less just clicking"
"160180","160620"," buttons."
"161340","162460"," And I think a lot of us have"
"162460","163860"," been guilty of this at some point."
"164260","167300"," So it was after that, I lost probably"
"167300","170160"," $100,000 of my own money, just kind"
"170160","172520"," of clicking buttons and paying my market tuition,"
"172780","173240"," if you will. "
"173860","176120"," A very expensive one because I had a"
"176120","178220"," successful sports betting career before I came into"
"178220","178660"," stocks."
"178660","179860"," And I thought it would just be so"
"179860","181500"," easy to transition into it."
"182000","183300"," And it was a bit of a mistake"
"183300","185500"," on my part, but it was a learning"
"185500","185980"," process. "
"186440","189560"," And then once I lost that money, I"
"189560","191420"," deep dove into backtesting."
"191980","194360"," And from there, I transitioned into a systematic"
"194360","195060"," trader."
"195340","198420"," Once I found the data and small cap"
"198420","200820"," edges, mostly on the short side, because we"
"200820","202140"," found that a lot of these stocks would"
"202140","203660"," fade off if they gapped up or if"
"203660","204820"," they were spiking really high. "
"205480","207080"," And that is what gave me the conviction"
"207080","208660"," to put money on these trades and become"
"208660","209920"," a pure system trader."
"210480","211020"," Oh, wow."
"211140","211380"," Okay. "
"211740","213780"," I didn't realize you had lost $100,000"
"213780","214300"," before."
"214380","216740"," That's a hefty market tuition."
"217040","218340"," Yeah, it was quite painful. "
"218600","220440"," But I think it was necessary for me"
"220440","222620"," to kind of teach me that this is"
"222620","223680"," not going to be easy and I'm going"
"223680","224680"," to start from scratch."
"225940","229300"," And I use trade ideas backtesting to really"
"229300","231080"," hone in on my ideas."
"231540","233760"," So I would see these patterns occurring on"
"233760","234980"," the tape and on the charts. "
"234980","237260"," But then I'm thinking, how can I turn"
"237260","240620"," this into a system with defined rigid boundaries,"
"240940","244500"," entry criteria, position sizing, profit targets, stop losses."
"244940","246840"," All of this stuff was just guessing if"
"246840","249460"," I were to look at chart patterns and"
"249460","252280"," try and figure out what was happening based"
"252280","252760"," on that."
"253220","254980"," So once I was able to export data"
"254980","257920"," from trade ideas into Excel, then I could"
"257920","259800"," see, okay, this is making sense if we"
"259800","261540"," use a 20% stop and a 20 "
"261540","264400","% profit target and a 30% position"
"264400","264760"," size. "
"264760","267240"," I would tweak and play with all these"
"267240","269040"," numbers to maximize the yield."
"269880","271240"," And then once I saw that it worked"
"271240","273640"," through the backtests, that's what gave me the"
"273640","275540"," conviction to put real money on these trades."
"276340","276820"," I see. "
"277380","280420"," And it's also with that system that you"
"280420","282240"," start sizing in more, right?"
"282260","284780"," Because eventually you recover from a $100K loss"
"284780","286680"," and grew your account."
"287500","289640"," Famously, I read on Twitter that you turned"
"289640","293820"," $3,000 into $1.6 million in less"
"293820","294640"," than two years."
"294760","295620"," That's right. "
"296320","297880"," That was during the COVID craze."
"298260","300180"," So it started in December of 2019."
