"start","end","text"
"330","2370"," Just three days ago, I predicted this six"
"2370","4690"," figure trade, but not by myself."
"5070","6670"," I did it in front of 10,000"
"6670","9110"," traders live on a YouTube stream, as you"
"9110","10150"," guys can see right here."
"10470","11490"," And in this video, I'm going to show"
"11490","12930"," it to you exactly how that happened. "
"13030","14450"," I'm going to break down the whole entire"
"14450","16470"," trade and how you can actually learn from"
"16470","16650"," it."
"16710","17830"," So you don't miss out on a trade"
"17830","18910"," like this ever again."
"19190","20330"," But I'm going to explain it to the"
"20330","22650"," T and how these 10,000 traders on"
"22650","24870"," that stream caught the same trade as me. "
"24910","26590"," So first things first, how did this happen?"
"26750","28650"," Well, it all started on the live stream"
"28650","30590"," that I did here on YouTube for free,"
"30690","32510"," where I pretty much gave students an insight"
"32510","34510"," on my Sunday swings, which is what I"
"34510","36870"," do every single Sunday with my students, where"
"36870","38890"," I pretty much break down all of the"
"38890","41070"," markets and I pretty much break down about"
"41070","42330"," 10 to 12 markets."
"42750","44090"," And out of those 10 to 12 markets,"
"44110","46390"," I pick the top two, top three markets"
"46390","47930"," that I'm going to be trading for the"
"47930","48290"," week ahead."
"48650","51970"," And that's where I ended up finding NZDUSD. "
"52090","54790"," And NZDUSD checked off on everything that it"
"54790","56010"," looks when it comes for me to be"
"56010","56550"," taking a trade."
"56610","58950"," It had the trend, area of interest, and"
"58950","61350"," then most importantly, the entry signal, the reason"
"61350","63310"," why I'm going to actually be entering the"
"63310","63489"," trade."
"63750","65290"," And that is because only when I have"
"65290","68250"," these three things together, I have an edge"
"68250","70430"," over the market that 80 to 90%"
"70430","72110"," of the traders in the industry do not"
"72110","72450"," have. "
"72870","74170"," Even if I were to have two of"
"74170","76050"," them, I still have an edge, but not"
"76050","77490"," as strong as it should be."
"77710","79030"," So on that live stream, pretty much what"
"79030","81890"," I did is I spotted NZDUSD on the"
"81890","85630"," early stage of completing the second step, meaning"
"85630","87850"," that the price had the trend that was"
"87850","90070"," bearish and it was approaching an area of"
"90070","90470"," interest."
"90690","91950"," All I had to wait for was for"
"91950","93550"," it to approach it and for it to"
"93550","94950"," actually have the entry signal. "
"95270","96670"," And how it all came about is when"
"96670","99070"," I was analyzing on that stream, I saw"
"99070","103410"," NZDUSD was headed to becoming one of these"
"103410","105130"," trades to have all of these three reasons"
"105130","106090"," for me to take the trade."
"106210","107690"," It already had the trend that was already"
"107690","110150"," bearish, but now it was approaching the area"
"110150","111730"," of interest where then the next step would"
"111730","113570"," be the actual entry signal."
"113910","116130"," So it was a trade that I forecasted"
"116130","119030"," that was going to happen beforehand because I"
"119030","121650"," saw these three things coming together in the"
"121650","123590"," upcoming hours or in the upcoming days. "
"123710","124930"," And as you're about to see in this"
"124930","127610"," next upcoming clip, everything is explained to the"
"127610","130190"," team beforehand and how I forecasted the trade"
"130190","132050"," coming up in the next couple of hours."
"132450","134270"," Oh, and before I keep going, hit the"
"134270","134830"," subscribe button."
"134830","136870"," You guys just missed out on the live"
"136870","138670"," stream where I just gave out this trade"
"138670","139290"," for free. "
"139690","140770"," If you hit the subscribe button, you'll be"
"140770","142130"," notified on the next time I do one"
"142130","143070"," again for free."
"143230","145090"," So if you don't subscribe, you're going to"
"145090","146030"," miss out on these trades that I give"
"146030","147690"," out for free every single time."
"147850","148650"," So hit the subscribe button. "
"148870","155500"," So as of right now, NZDUSD waiting for"
"155500","162400"," trade area of interest and live."
"164390","166190"," This is literally what we are waiting for"
"166190","167850"," on NZDUSD."
"168150","171370"," Waiting for a little pullback like this so"
"171370","173090"," then we can actually move to sell the"
"173090","173290"," trade. "
"173770","175810"," Now, if this makes sense, put a one"
"175810","176370"," in the chat."
"176910","178890"," If it does not, put two."
"180890","181990"," I'm going to speed things up now. "
"182090","183730"," I just get really passionate about trading."
"183870","185190"," Like I didn't really like this just so"
"185190","186470"," I get really deep into it."
"186830","188670"," But I'm going to speed things up and"
"188670","189650"," we're going to go through all these markets"
"189650","191110"," probably in the next five, 10 minutes. "
"191390","192510"," And I'm going to break down the giveaway"
"192510","193390"," for you guys."
"193590","195870"," I'm giving away $30,000 on this stream"
"195870","196350"," right now."
"196410","198290"," Like I don't think you guys understand what"
"198290","200450"," guru out there will be at literally. "
"200550","202010"," So tell me what guru out there will"
"202010","202570"," be at."
"203230","204730"," Bro, it's two in the fucking morning."
"205950","207310"," Literally, I'm just going to show you guys. "
"207930","210310"," What guru at two in the morning will"
"210310","213590"," literally be giving you guys this much value."
"213870","214950"," You guys can't even see it."
"215030","215650"," It's not focusing. "
"216210","217150"," But it's two in the morning."
"217710","218990"," What guru will be giving you this value"
"218990","219670"," at this time?"
"219850","222630"," And on top of that, giveaway $30,000."
"223130","223530"," Nobody. "
"223710","224970"," None of these guys have the courage to"
"224970","225430"," do this shit."
"225790","227030"," I have an open chat."
"227410","228410"," Literally, no mods. "
"228490","229950"," I'm not kicking anybody out because I have"
"229950","230530"," nothing to hide."
"230910","232630"," Literally, everybody in the chat is happy."
"233330","234990"," So with that being said, let's actually go"
"234990","237130"," into the market and break down this trade"
"237130","237890"," to the detail. "
"238290","239510"," And pretty much how I hit my take"
"239510","241670"," profit so perfectly and why I did not"
"241670","242970"," continue to hold this trade."
"243190","244390"," But pretty much I would have lost all"
"244390","245990"," the profits that I would have made on"
"245990","248070"," this market that I predicted to the team."
"248350","250310"," So as you can see, this market right"
"250310","253770"," here is literally two days after this actually"
"253770","254150"," happened. "
"254270","255870"," So I did the stream about three days"
"255870","257890"," ago on Sunday, right before the market had"
"257890","258230"," opened."
"258790","260149"," As you can see, this is the exact"
"260149","262170"," same text that I actually wrote on that"
"262170","262670"," live stream."
"262830","264450"," And it is that NZD USD. "
"265050","266610"," I was waiting for the trade to go"
"266610","268310"," to the area of interest, and then I"
"268310","269990"," would apply the entry signal."
"270210","271070"," So to give you guys a little bit"
"271070","273250"," of context and make this very simple, this"
"273250","275970"," is what pretty much NZD USD looked like."
"276070","278050"," The market was heading to the upside. "
"278190","280150"," It had a bullish trend, and then the"
"280150","281750"," market shifted to the downside."
"282150","284030"," Now, this market right here in this case"
"284030","285710"," scenario is bearish."
"285910","287470"," So that is the first thing that I"
"287470","289510"," need when it comes to taking a trade. "
"289610","291330"," I need to have the trend in my"
"291330","293470"," favor before I do anything else."
"293730","295230"," So first things first is going to be"
"295230","295890"," trend."
"296070","298030"," And we already spotted this trend that is"
"298030","299370"," going to be bearish. "
"299610","301330"," Now I know that I'm only going to"
"301330","303890"," be looking for sells and nothing other than"
"303890","304290"," sells."
"304410","306190"," This makes it very easy when going to"
"306190","307430"," click the buy or the sell button."
"307610","310510"," You pretty much just narrow down the odds"
"310510","311190"," of you losing. "
"311330","313470"," It's very slim because it simply makes more"
"313470","315250"," sense to sell rather than to buy."
"315430","316530"," And you should know that there should be"
"316530","318150"," no reason why you should like to buy"
"318150","319690"," if the trend is bearish."
"319730","320790"," So you want to look for reasons to"
"320790","321030"," sell. "
"321250","322410"," This makes it a lot easier for you"
"322410","324410"," to come to the decision on whether you"
"324410","325090"," should buy or sell."
"325110","326670"," So now that we understand that the trend"
"326670","329410"," is bearish and we understand that this is"
"329410","332090"," a head and shoulders pattern, as you can"
"332090","334770"," clearly see, we have a left, a head"
"334770","336610"," and a right shoulder."
"337170","339210"," This is obviously a reversal pattern. "
"339350","341090"," Head and shoulders patterns indicates you that the"
"341090","342730"," market is then going to reverse."
"342950","344730"," So you have a head and shoulders at"
"344730","345930"," the top of the trend."
"346050","347510"," That means that that trend is not going"
"347510","348450"," to be bearish. "
"348830","350190"," And then if you pretty much flip it"
"350190","352090"," around and you have an inverted head and"
"352090","354510"," shoulders at the bottom of the trend, that"
"354510","356830"," pretty much indicates you that lower low trend"
"356830","358770"," is not going to shift to being a"
"358770","359510"," bullish trend."
"360090","361510"," So as you can see over here on"
"361510","365050"," NTDUSD, we had a very clear indication of"
"365050","368350"," this head and shoulders pattern that is happening"
"368350","370170"," at the top of the trend."
"370670","372190"," And the only way you can have a"
"372190","375450"," confirmed head and shoulders pattern is once and"
"375450","379490"," only we shift and break the neckline of"
"379490","380350"," the head and shoulders. "
"380590","383370"," Very perfect example is going to be an"
"383370","384470"," example like this."
"384890","388230"," This is not a valid head and shoulders."
"388850","388950"," Why?"
"389070","391450"," Because we have not broken the neckline of"
"391450","391630"," it. "
"391750","393210"," And then this market from here can just"
"393210","395450"," go to the upside and take false head"
"395450","397570"," and shoulders to fake out whatever you want"
"397570","397950"," to call it."
"398030","399230"," It's not a valid head and shoulders."
"399490","400930"," The only way you have a valid head"
"400930","404790"," and shoulders once you break the neckline of"
"404790","405550"," that head and shoulders. "
"405730","407830"," And as you can clearly see here on"
"407830","410590"," NTDUSD, that is exactly what has happened."
"410970","415110"," Clearly broken through that neckline of the head"
"415110","415510"," and shoulders."
"415770","418710"," But that is where the strategy comes in"
"418710","419770"," and the way that I trade. "
"420150","422030"," And it's now that we've confirmed and the"
"422030","424770"," market has shown us its hand first, confirming"
"424770","426530"," that now not only are we bearish, but"
"426530","428430"," that the reversal pattern is actually valid."
"428770","431070"," Now is when I can actually be interested"
"431070","432750"," in the trade because the market has shown"
"432750","433850"," me its hand first."
"434190","435350"," A common mistake that a lot of these"
"435350","437410"," traders make is that they want to predict"
"437410","438650"," the market's hand first. "
"438810","442190"," And that is a never ending game of"
"442190","442930"," just losing."
"443050","445170"," You want the market to show its hand"
"445170","447450"," first, so then you just simply follow it."
"447550","448810"," It's literally letting you know what it's going"
"448810","449370"," to do first. "
"449710","451090"," That's exactly what the market did here."
"451470","452690"," So we already know that we already have"
"452690","454870"," the trend in our favor, which is key"
"454870","456750"," to then moving on to the next point,"
"457110","458770"," because the next point is going to be"
"458770","460890"," area of interest."
"461370","464250"," Now, the area of interest is key because"
"464250","467570"," it's where you are interested in actually executing"
"467570","468250"," the trade. "
"468750","474370"," So AOI is short for area of interest."
"475250","477670"," Now, this area of interest can also be"
"477670","481530"," labeled as area of entry, area to buy"
"481530","483870"," or sell, area to take the trade."
"483970","485450"," This is the point in the market where"
"485450","488070"," we are actually going to execute the trade"
"488070","488390"," at. "
"488750","490270"," And these points are very key because this"
"490270","491730"," is pretty much where you're going to have"
"491730","494470"," the overall confirmation that the market is going"
"494470","496290"," to reverse from this point right here."
"497050","499810"," So we placed our area of interest right"
"499810","502430"," around the neckline of the head and shoulders"
"502430","505250"," simply because it's the most valid area and"
"505250","507030"," it makes more sense to sell at that"
"507030","507250"," point."
"507410","508450"," You want to have an area of interest"
"508450","510750"," that has multiple structure tabs like this one,"
"511150","514289"," one, two, three structure tabs, strong indication that"
"514289","515590"," the market is going to reverse from that"
"515590","515789"," point. "
"516350","517610"," Come over here and we look at it"
"517610","519570"," and this section right here and clearly say"
"519570","521990"," we have one, two, three, and if I"
"521990","524650"," look more left, four, five, six, seven."
"525050","527710"," This market is obviously very well respected at"
"527710","528970"," this area of interest."
"529430","530730"," Whenever we're under, we're selling. "
"531130","532470"," Whenever we're above, we're buying."
"532730","534170"," Whenever we're above, we're buying."
"534330","536170"," And clearly whenever we are under, we're selling. "
"536550","539270"," So in this example, we have clearly determined"
"539270","540230"," that we are under."
"540570","543110"," So now for the area of interest, we"
"543110","545910"," simply have to let the market go back"
"545910","548750"," to this area of interest to then retest"
"548750","548890"," it."
"548910","551270"," Because again, the area of interest is where"
"551270","553430"," we are going to execute the trade at. "
"553530","555230"," If we are not at the area of"
"555230","557310"," interest, you do not execute the trade."
"557470","559610"," A big mistake a lot of traders make"
"559610","561770"," because they're not patient enough to just wait"
"561770","562850"," for the market to get there."
"563310","566230"," So where we were on Sunday with NZDUSD"
"566230","568810"," was right at this middle ground point right"
"568810","569030"," here. "
"569290","571490"," I've spotted a bearish market."
"571610","574810"," I've spotted a solid area of interest, and"
"574810","577570"," I've identified that now the market is headed"
"577570","580230"," into that area of interest, which is great."
"580650","582430"," So now that we are pretty much on"
"582430","584490"," the final step, which is going to be"
"584490","585870"," the entry signal. "
"586010","589550"," And on the entry signal, you can only"
"589550","593110"," take the entry signal at the area of"
"593110","593470"," interest."
"593890","596010"," You cannot take a trade if it is"
"596010","597390"," not at the area of interest."
"597390","598910"," You can have the best entry signal in"
"598910","600450"," the world, but if you're not at the"
"600450","601890"," entry signal, if you're not at the area"
"601890","602970"," of interest, you cannot take the trade. "
"603290","604970"," So this is where I pretty much told"
"604970","607010"," everybody on the Sunday swings, as you can"
"607010","607590"," see right here."
"608070","609470"," I literally wrote this down live."
"609590","611650"," I said, waiting for the trade to go"
"611650","614290"," to the area of interest, then we apply"
"614290","615210"," the entry signal. "
"615590","618490"," So we are about to complete step two,"
"618830","620670"," so then we can go on to the"
"620670","621130"," third step."
"621310","623270"," We can't skip the second step and just"
"623270","625050"," go to the third because we have to"
"625050","626110"," be at that area of interest."
"626430","629190"," Now, can a trade have a entry signal"
"629190","630910"," without it being at the area of interest?"
"631230","632090"," Yeah, most definitely. "
"632250","633810"," It's happened hundreds of times."
"634210","635070"," And what do I do?"
"635610","635910"," Nothing."
"636050","637050"," I don't take that trade. "
"637110","637810"," It's not my trade."
"637890","639350"," It does not follow my system, does not"
"639350","640010"," follow my rules."
"640150","641410"," I simply won't take it. "
"641830","643750"," Now, if it does happen and I miss"
"643750","645610"," it and I could have made X amount"
"645610","647130"," of dollars on it, I don't care because"
"647130","648550"," it just simply was not my trade."
"648750","650470"," I only focus on the trades that follow"
"650470","652150"," my trading plan like this one."
"652310","654930"," So on Sunday, I clearly spotted that the"
"654930","657130"," market was on its way to that area"
"657130","657570"," of interest. "
"657790","660050"," And once it gets to that point is"
"660050","662270"," where then I would apply the entry signal"
"662270","664350"," so that I can actually execute the trade."
"664750","666870"," Well, if we go down over here, that"
"666870","668470"," is exactly what happened."
"668790","670070"," We go down to the four hour just"
"670070","671170"," to get a better zoom in and get"
"671170","673670"," a better clear understanding of what is going"
"673670","675630"," on with this market and where the market"
"675630","677290"," was on Sunday, to give you guys a"
"677290","680250"," very direct perspective, was around like this. "
"680490","682330"," And I said, I need the market to"
"682330","684870"," actually tap that area of interest and reject"
"684870","686850"," it in order for them to look for"
"686850","687490"," the entry signal."
"687730","691310"," So then I simply waited about four to"
"691310","692170"," eight more hours."
"692290","694830"," Now I've identified that the market is at"
"694830","695790"," that area of interest. "
"696330","698530"," So now we understand that this point to"
"698530","701650"," over here is very valid and everything is"
"701650","704930"," now leading on to the actual entry signal"
"704930","706910"," of this market, which is going to be"
"706910","709830"," crucial because if I have the trend, if"
"709830","711290"," I have the area of interest, but I"
"711290","714090"," don't have the entry signal, I don't take"
"714090","714650"," the trade."
"714990","717190"," I have saved hundreds of thousands of dollars"
"717190","719610"," by just waiting for this first step, because"
"719610","721170"," a lot of traders, they wait for the"
"721170","723010"," first step, they wait for the second step,"
"723310","725150"," but then they get impatient on the third."
"725490","726970"," And it's something that those are the traders"
"726970","728850"," that obviously with time, they're going to realize"
"728850","730410"," a mistake that they're making and they're going"
"730410","732730"," to fix it and then obviously have this"
"732730","733910"," profitable edge of the market. "
"734270","735850"," But I'm trying to save you that time"
"735850","737310"," right now in those losses because they're very"
"737310","739450"," unnecessary and there's no way around it other"
"739450","741950"," than simply just waiting for the entry signal."
"742730","745170"," So once we've identified that we are at"
"745170","747590"," this area of interest, I'm simply going to"
"747590","749790"," wait for my entry signal, which to keep"
"749790","753850"," it very simple, consists of an engulfing candlestick."
"753950","754790"," It's pretty much it. "
"755230","758110"," Now this engulfing candlestick is clearly what happened"
"758110","759450"," right around next right here."
"760210","762210"," And I executed the entry signal."
"762290","763510"," I got it on the lower time frame,"
"763610","765910"," such as the one hour, and I pretty"
"765910","768270"," much entered on this one hour engulfing right"
"768270","768550"," here. "
"769130","770490"," Spread got me in a little bit late."
"770530","773470"," And then after I entered the trade, I"
"773470","776950"," literally just set and forget, put my stop"
"776950","779550"," loss above the structure point, put my take"
"779550","783110"," profit at the previous lower low point, because"
"783110","784670"," you want to put your take profit at"
"784670","786790"," a spot where if the market hits it,"
"787030","789610"," it's going to then obviously have a reaction"
"789610","790350"," from that point."
"790410","793030"," I could be super optimistic and then obviously"
"793030","795610"," put a humongous take profit like this and"
"795610","798830"," the probability of it hitting will probably happen"
"798830","799970"," in the next week or two. "
"800210","801870"," But it's not the type of trade that"
"801870","804270"," I executed at this point, because if you"
"804270","805570"," notice, if we go out to the daily"
"805570","807770"," time frame, you can clearly see that this"
"807770","810790"," next zone over here is actually a very"
"810790","814030"," strong and very well respected level of support,"
"814090","815670"," support, support and resistance."
"815670","817930"," I'm pretty much selling from one resistance and"
"817930","820890"," getting out at the next report simply because"
"820890","823070"," I don't want to be involved in this"
"823070","824850"," next reaction that the market is going to"
"824850","825070"," be."
"825230","826470"," I don't want to lose out on the"
"826470","827930"," profits that I just made at that point. "
"828250","830170"," So if you notice my take profit was"
"830170","833230"," hit to perfection and my theory of this"
"833230","836050"," area giving the market a reaction has literally"
"836050","836910"," come true."
"837110","838930"," So the market pulled up to this area"
"838930","841150"," and it just simply repeated the same pattern"
"841150","843330"," once again, which is going to be have"
"843330","844570"," a reaction from this area."
"844690","846350"," When we're above it, we're heading up. "
"846350","848010"," When we're under, we're going down."
"848510","850230"," At this very moment, we are above it."
"850390","851050"," So we had a reaction. "
"851470","853110"," So I want to get out right before"
"853110","854590"," that reaction from that market."
"854670","856230"," And that's exactly what we did."
"856750","859790"," So I risked about, I say, like $50 "
"859790","862310",",000 more or less on this trade, obviously"
"862310","865030"," spread and then the commission also kind of"
"865030","865990"," have to factor it in. "
"866090","867630"," But it did give me a positive risk"
"867630","870230"," to reward of a one to 2.2"
"870230","872750"," risk to reward, which is obviously on the"
"872750","874530"," low end of what I usually risk."
"874690","876610"," I'll typically be risking anywhere from like 80"
"876610","879250"," to about $120,000 per trade because I'm"
"879250","882290"," only taking trades that are just like this"
"882290","884590"," one and trades just like this one don't"
"884590","885350"," come very often."
"885830","886950"," And when they do, I'm going to make"
"886950","888650"," sure that I put up the risk that"
"888650","890410"," I have ready for it. "
"890450","893030"," But I just, I'm coming out from traveling"
"893030","894170"," all around the world and stuff."
"894210","895970"," So kind of getting back in the rhythm"
"895970","896550"," of the market."
"896990","898830"," That's why I challenged myself with doing this"
"898830","901530"," live stream with you guys and perfect timing. "
"901890","903690"," I did the live stream, gave this perfectly"
"903690","906830"," simple trade and very, very clear on how"
"906830","907610"," effective it is."
"907910","909570"," And what I just did with this trade"
"909570","912210"," and on that live stream, this previous Sunday,"
"912310","914190"," literally three days ago from me recording this"
"914190","916930"," video and this trade actually executing is what"
"916930","919730"," I do every single Sunday with all of"
"919730","920250"," my students."
"920250","921970"," I get on a call that I pretty"
"921970","924490"," much named it Sunday swings because we analyze"
"924490","926550"," all of the markets for the upcoming week"
"926550","927170"," ahead. "
"927450","929550"," And I break down my top two, top"
"929550","930110"," three pairs."
"930110","931490"," And I'm going to be trading in that"
"931490","932030"," very week."
"932210","933870"," I explained to the traders, the exact reason"
"933870","935830"," on where I'm looking to enter, where I'm"
"935830","936550"," looking to exit. "
"936650","938750"," And I'm literally sharing with them my exact"
"938750","938990"," trade."
"939070","940310"," So all of my students are having the"
"940310","941770"," same results as me."
"942130","943470"," And that's where the set and forget strategy"
"943470","945650"," comes in, where let's traders make anywhere from"
"945650","948950"," a thousand to $1,500 a week using"
"948950","951470"," the set and forget strategy within their first"
"951470","952590"," three months of trading. "
"953010","954970"," And I think the most valuable point of"
"954970","956870"," being a student of mine and getting access"
"956870","959130"," to the set and forget strategy are these"
"959130","961250"," weekly calls that I have with my students"
"961250","962310"," for life."
"962370","964150"," And it lets them make anywhere from a"
"964150","967350"," thousand to $1,500 a week using my"
"967350","968170"," set and forget strategy."
"968330","969710"," And you're probably wondering what set and forget"
"969710","971210"," is and want to know more about it. "
"971410","972590"," Click the link in the description below."
"972830","973870"," I have a video there for you that"
"973870","976150"," explains to you absolutely everything and what it"
"976150","978230"," consists of and how it lets students make"
"978230","980930"," thousands of dollars every single day, following my"
"980930","982710"," trades and being part of one of the"
"982710","984750"," most successful communities out there in the trading"
"984750","985070"," industry."
"985450","986350"," So if you want to know more about"
"986350","987930"," set and forget and what it is, click"
"987930","989030"," the link in the description below. "
"989370","991130"," I appreciate you guys watching this video all"
"991130","991790"," the way to the end."
"992130","993210"," Make sure you guys hit that like and"
"993210","995090"," subscribe button, and I'll see you guys in"
"995090","995550"," the next video. "
