"start","end","text"
"190","1530"," So the trick to Android development is to"
"1530","2750"," choose the right tools for the job and"
"2750","4230"," to learn only the skills you really need"
"4230","5730"," to build the kind of app that you"
"5730","6330"," want to make."
"6650","8750"," I believe that the best tool for Android"
"8750","10310"," game development is Unity."
"10730","12530"," It makes the whole process so much quicker"
"12530","14710"," and simpler, so much so that in this"
"14710","15490"," video I'm going to show you how you"
"15490","17450"," can get something up and running in just"
"17450","18430"," seven minutes. "
"19050","20490"," So Unity is a game engine, that means"
"20490","23370"," it handles things like the physics and controls,"
"23490","25610"," it provides certain assets for you ready-made,"
"25830","27730"," it basically makes the whole process of creating"
"27730","30030"," a game much simpler, so you can focus"
"30030","32370"," on what makes the game unique and on"
"32370","34210"," the assets and on the design and let"
"34210","35850"," Unity handle a lot of the more advanced"
"35850","36350"," code."
"36570","38090"," You only need very little code to get"
"38090","40190"," started with Unity and what you do use"
"40190","42830"," you can find tons of guides and references"
"42830","44070"," online to help you through."
"44290","46150"," That said, Unity is still very powerful, very"
"46150","47290"," flexible and it's used by a lot of"
"47290","48190"," professional developers. "
"48590","50170"," In fact many of your favorite games from"
"50170","53010"," the Play Store were probably built using Unity."
"53350","54330"," Were you to try and make a game"
"54330","56430"," in Android Studio you'd need to learn Java,"
"56570","58970"," you need to understand classes and libraries, you"
"58970","60870"," need to create the physics engine yourself, so"
"60870","63330"," you're handling things like gravity and collision, whereas"
"63330","64770"," Unity does all that for you and makes"
"64770","67050"," it so much easier, while still being as"
"67050","69110"," powerful as you could need even as a"
"69110","69990"," professional developer."
"70170","71470"," If you're someone who'd like to create an"
"71470","72930"," Android game but you think maybe it's too"
"72930","74870"," difficult, it involves too much code, then I"
"74870","76810"," hope this video is going to demonstrate just"
"76810","78850"," how quick and simple and easy the whole"
"78850","79850"," process can be. "
"80270","81590"," I'm going to really run through it though,"
"81630","83170"," so if you want to slow things down"
"83170","85210"," and understand what each step does, then follow"
"85210","87250"," the link in the description down below."
"87510","89530"," As you'll see though, the process really is"
"89530","90170"," very simple."
"90790","92730"," You don't need any prior knowledge and as"
"92730","94310"," long as you've got Unity and the Android"
"94310","96950"," SDK installed on your computer already, then you'll"
"96950","97550"," be good to go. "
"98250","100250"," Okay so seven minutes, let's go!"
