"start","end","text"
"420","1560"," So in this video, we are going to"
"1560","2960"," make a game in 10 minutes."
"3059","4600"," So at the end of the video, you"
"4600","5940"," will have something like this."
"21820","24080"," And we are going to use something called"
"24080","24520"," code. "
"24660","26480"," This is powered by Unreal Engine 4."
"26920","30020"," So this is quite powerful and way beyond"
"30020","31580"," Roblox and other tools."
"31960","33640"," So if you want to start making games,"
"33720","35960"," but you don't know all the aspects of"
"35960","38140"," game development, this video is perfect for you."
"40560","42300"," So first I'll leave a link down in"
"42300","42880"," the description. "
"43100","44760"," You can click that link and you can"
"44760","45620"," go to this website."
"45860","47740"," So you need to make an account here."
"47860","50640"," So just sign up and after signing up,"
"50660","51680"," you can download code. "
"52480","54320"," After installing it, you can open it."
"54840","56600"," So we can create a new project either"
"56600","59820"," by selecting the empty project or we can"
"59820","62340"," create a project using a gameplay framework."
"63420","64900"," So we are going to select a gameplay"
"64900","65420"," framework. "
"65420","68120"," And as you can see, code gives us"
"68120","70140"," a lot of gameplay frameworks to work with."
"70520","72640"," So we have a battle royale, we have"
"72640","73240"," a deathmatch."
"73360","75200"," So you can really make full-fledged multiplayer"
"75200","76940"," games and you don't need to worry about"
"76940","78160"," any networking and stuff. "
"78320","80160"," So I'm going to do a multiplayer video"
"80160","80520"," later."
"80960","82360"," But in this video, we are going to"
"82360","84180"," use the dungeon crawler framework."
"84380","86660"," So you can name your project whatever you"
"86660","89120"," like and you can just create this project. "
"91380","93380"," And this is the interface of code."
"95600","97120"," Now, what we are going to do is"
"97120","98540"," we are going to select the maps folder"
"98540","101100"," in the hierarchy and the map folder contains"
"101100","102700"," all the objects that are in the scene."
"102780","104560"," So you can select the map folder and"
"104560","106780"," you can delete it because I'm going to"
"106780","107660"," start from scratch. "
"108620","111280"," After that, you can go under the core"
"111280","111760"," content."
"112480","115940"," And in this core content panel, you have"
"115940","117100"," all kinds of objects."
"117140","120860"," You have 3D objects, animated meshes, audio decals,"
"120980","122320"," particle systems, materials. "
"122680","124800"," So you have all kinds of objects here."
"125500","127720"," So we are going to search for sky"
"127720","130320"," and we are going to pick the night"
"130320","130660"," sky."
"131000","132920"," So this is just a skybox. "
"133740","135160"," Actually, this is a skysphere."
"135640","138260"," After you have created the sky, you can"
"138260","140560"," go in the terrain editor and you can"
"140560","141640"," generate a new terrain."
"142340","144660"," I'm going to generate a flat terrain and"
"144660","146340"," you can click the generate button. "
"154100","156180"," After that, we are going to search for"
"156180","158060"," something called as a spawn point."
"158060","161080"," And this spawn point object decides the position"
"161080","162860"," of the player in the beginning of the"
"162860","163060"," game."
"163520","165540"," So you can drag the spawn point object"
"165540","166220"," in your scene. "
"167260","169700"," And if you test it out, the player"
"169700","171040"," spawns at that position."
"174000","176240"," So let's give our terrain a material."
"176900","179060"," So you can go under the material section. "
"185040","187520"," So I'm going to use this triplanar landscape"
"187520","187980"," material."
"189740","192120"," After you have selected your material, you can"
"192120","194600"," sculpt the terrain and by default, you have"
"194600","196220"," the surface tool selected."
"197160","199100"," So there are a lot of brushes that"
"199100","200560"," you can use to sculpt your terrain. "
"205120","207600"," After you have done sculpting, you can select"
"207600","210100"," the smooth tool and you can just smooth"
"210100","211820"," this out and this will give your terrain"
"211820","212960"," a very natural look."
"213960","215640"," So just smooth this out and I will"
"215640","217600"," recommend you that you play with all these"
"217600","218100"," brushes."
"218460","220360"," You can really make some interesting things with"
"220360","220600"," this. "
"222180","224380"," So after we are done sculpting, we are"
"224380","225480"," going to add some foliage."
"226100","228540"," So under the foliage panel, so you can"
"228540","230160"," search for grass and you can add the"
"230160","230500"," grass."
"231900","234760"," You can change the distance between each grass. "
"235020","237360"," So if you decrease the distance, you get"
"237360","238620"," a very dense looking grass."
"246280","248160"," So now our grass is looking good."
"248360","249800"," You can stop here, but I'm going to"
"249800","250820"," add one more grass. "
"250820","252600"," So I'm going to add the tall grass."
"253140","254820"," Variation is the key thing while you are"
"254820","256760"," creating natural looking scenes."
"259959","261580"," We are going to add some trees now"
"261580","263580"," and this is quite similar to how we"
"263580","264860"," added our grass meshes. "
"279090","281310"," So our forest scene looks pretty good."
"281730","283290"," So now we are going to select the"
"283290","285250"," spawn point and I'm going to add a"
"285250","286810"," mesh on our spawn point."
"287530","290070"," So this will sort of define the starting"
"290070","291050"," position of our player. "
"291870","293810"," So this is just for visual purposes."
"294130","296450"," So you can search for an arch and"
"296450","298590"," I'm going to add the arch mesh in"
"298590","299090"," my scene."
