"start","end","text"
"70","2370"," So, you want to make a game."
"3150","5690"," You got a perfect dream game idea, with"
"5690","8330"," everything already planned in your head, but you"
"8330","10710"," don't know how to code, let alone how"
"10710","11430"," to make a game?"
"12170","14670"," Well, you have come to the right place."
"15329","17410"," I am going to share with you a"
"17410","19230"," few tips and tricks to help you get"
"19230","21630"," started on your very own dream game. "
"22070","22650"," You're ready?"
"23230","24470"," Alright, here we go."
"24990","27630"," Tip number one, don't."
"29570","32990"," Okay, alright, well, what I mean by that"
"32990","35650"," is, you can't just run straight to the"
"35650","37310"," final boss right away, you know?"
"37650","39530"," You gotta play the tutorial first. "
"40050","41550"," It's the same for game development."
"42410","45330"," Every single time I've tried to learn a"
"45330","47550"," new game engine, just so I could make"
"47550","49930"," a single game idea I had in mind,"
"50450","52710"," I failed miserably."
"53650","56030"," Instead, the only times I was able to"
"56030","58030"," make a game was when either A."
"58130","60410"," I was just messing around with the engine"
"60410","63269"," and adding random stuff for fun, or B."
"63430","65410"," I already knew how to use the engine"
"65410","67470"," and had a game idea that would work"
"67470","68070"," well on it. "
"68930","71690"," You see, game development has a steep learning"
"71690","74610"," curve, and when you know nothing, it can"
"74610","75890"," all seem extremely daunting."
"76580","78350"," Not only do you need to learn how"
"78350","80150"," to use a game engine, you need to"
"80150","82970"," learn some sort of programming language and basic"
"82970","84230"," game making concepts."
"85010","86670"," And if you're one of those people who"
"86670","89410"," give up immediately after trying something new, just"
"89410","91250"," because you're not super good at it right"
"91250","93550"," away, you're gonna have a hard time. "
"94150","97050"," If that's the case, my first real tip"
"97050","100030"," for you is, do not try to learn"
"100030","101390"," Unity or Unreal."
"102250","104550"," These are for the big boys only, alright?"
"105230","108450"," You should start really really small, and lower"
"108450","110130"," your expectations on yourself."
"110750","113370"," In fact, you'll have to start from Scratch. "
"114710","115410"," Literally."
"118070","121690"," So, Scratch is a game engine that uses"
"121690","125030"," its very own programming language, and you can"
"125030","128150"," both play and make Scratch games directly on"
"128150","128710"," the website."
"129389","131810"," Instead of writing code, you use little blocks"
"131810","134230"," of pseudocode and put them together to create"
"134230","134650"," logic. "
"135270","137250"," And in my opinion, this is the best"
"137250","139690"," way to learn programming and basic game logic."
"140350","143090"," Unlike with say, Unity, here you don't have"
"143090","144670"," to worry about learning the engine."
"145150","148770"," Everything is super straightforward and neatly organized, so"
"148770","150210"," you can focus on learning. "
"151070","153370"," Scratch also comes with a sprite editor that"
"153370","156150"," uses vector graphics, which means that instead of"
"156150","159350"," drawing with pixels, you draw using shapes, which"
"159350","161230"," means they can be scaled and moved as"
"161230","163430"," much as you want without ever losing quality."
"163990","165510"," As you may have seen in the background,"
"165950","168010"," I made a very simple little game as"
"168010","168570"," a demonstration."
"169130","171010"," You have red balls coming at you from"
"171010","173010"," both sides of the screen, and you avoid"
"173010","174930"," them by moving the cat with the arrow"
"174930","175310"," keys. "
"175910","178370"," Once you get hit three times, it's game"
"178370","178590"," over."
"179570","181530"," I made all of that in just under"
"181530","182330"," 20 minutes."
"182790","184970"," It's pretty simple, but it just goes to"
"184970","187170"," show how easy to use Scratch is. "
"188170","191230"," Now, don't get me wrong, you can make"
"191230","193710"," really impressive things on Scratch."
"194350","197270"," People have made 3D games with it in"
"197270","199510"," the past, but that's more for the kind"
"199510","201210"," of people who do it just for the"
"201210","201690"," challenge."
"202550","204210"," You know, the kind of people who port"
"204210","207150"," Doom on any electronic device just for fun. "
"207890","209450"," But that's not what we're here for today."
"210410","213110"," Now, some of you might be thinking, why"
"213110","214730"," should I learn how to use Scratch when"
"214730","216330"," I could be learning how to code instead?"
"217230","219850"," And to that I say, coding, and by"
"219850","223410"," extension, learning how to code, is much, much"
"223410","226870"," easier when you already understand programming logic."
"227290","229210"," Once you know how to program, you basically"
"229210","231470"," already know how to code, and all you"
"231470","233570"," need to learn is the structure and syntax"
"233570","234390"," of the language. "
"235350","238090"," Alright, so, you've used Scratch for a little"
"238090","240170"," while now, and made a couple little games,"
"240530","242010"," and you're starting to get a feel for"
"242010","242470"," programming."
"242970","245310"," You're now probably ready for the next step."
"246050","247870"," Unless you think you can make your dream"
"247870","250050"," game on Scratch, in which case, I will"
"250050","250890"," not stop you. "
"251650","253630"," But if that's not the case, you'll be"
"253630","256170"," asking yourself the question that every single new"
"256170","258070"," game developer will ask themselves."
"258769","260769"," What engine should I use?"
"261490","264050"," And that's a really good question, so let's"
"264050","266070"," go over some popular game engines."
"268950","271610"," I'll start with some simpler ones, and then"
"271610","273290"," we can work our way up in difficulty. "
"274010","275810"," Assuming you don't want to learn how to"
"275810","278490"," code, there are codeless engines out there that"
"278490","281690"," you can use, like GDevelop and Construct."
"282170","284570"," I've never actually used them, but I'm sure"
"284570","285650"," they're great for beginners."
"286370","288310"," Also, they're both free to use. "
"289030","291550"," Next up is GameMaker Studio 2."
"291990","294930"," I've only ever used the OG GameMaker, but"
"294930","296230"," it's probably about the same."
"296790","299890"," You can use both visual programming and code,"
"300250","302170"," so I guess it's got a little something"
"302170","302850"," for everyone."
"303430","306630"," It's responsible for popular indie games like Deltarune"
"306630","309710"," and Pizza Tower, so you can absolutely make"
"309710","311350"," some pretty good games with it. "
"311890","313410"," It's also free to use, but if you"
"313410","314950"," want to publish your game, you need to"
"314950","315770"," pay for a subscription."
"317710","320850"," RPG Maker is a little more niche."
"321510","323010"," I'm not going to go into too much"
"323010","324910"," detail because I plan to make a video"
"324910","327010"," on it eventually, but if you want to"
"327010","329530"," make a simple top-down story-focused game"
"329530","333070"," with no major unique gameplay mechanics, then yeah,"
"333290","334330"," RPG Maker is great. "
"335030","338250"," It's mostly codeless, but you are allowed to"
"338250","340310"," fully customize the game if you do know"
"340310","340810"," how to code."
"341410","343450"," Otherwise, the engine is pretty limited."
"344310","346470"," It does cost money, but there's a 30 "
"346470","348410","-day free trial you can use to see"
"348410","349370"," if you like it first. "
"350670","353730"," Click Team Fusion, the engine that brought us"
"353730","356370"," both Five Nights at Freddy's and Baba is"
"356370","356590"," You."
"357250","360710"," It's completely codeless and can be surprisingly powerful,"
"360710","363170"," and I really like how it lets you"
"363170","366610"," easily access and modify data from every object"
"366610","368090"," from anywhere in the code."
"368950","371350"," Oh, but it's also the engine with the"
"371350","373190"," highest price that I know of. "
"373550","375110"," I mean like, okay look at this."
"375490","379170"," Base engine is $100, add-on with extra"
"379170","383210"," features $60, 3D game tools $80."
"384030","384810"," What's this?"
"385010","386850"," You want to port your game to something"
"386850","388450"," that's not a Windows computer?"
"388450","390430"," Well, better pay up, pal. "
"390870","396550"," Mac exporter $50, web page exporter $70, Android"
"396550","400470"," and iOS exporter $100 each."
"401390","404950"," Developer upgrade $300."
"406190","409790"," If you want the full complete Click Team"
"409790","413730"," experience, it'll cost you $860. "
"415210","417870"," There is a free version you can use"
"417870","420830"," forever, but it's very limited."
"422150","424490"," Alright, now all of the engines I've looked"
"424490","427370"," at so far have been primarily 2D focused,"
"427730","429550"," but if you want something that can do"
"429550","432030"," 3D, you'll have to use one of the"
"432030","433150"," big three."
"434090","436730"," Unity, Unreal, and Godot. "
"437570","441050"," Now I absolutely don't recommend using any of"
"441050","443330"," these as your first game engine, but if"
"443330","446150"," you really need to, then Godot engine is"
"446150","448610"," by far the most beginner-friendly out of"
"448610","449010"," the three."
"449950","452850"," However, it's also by far the least popular,"
"453250","455170"," which means it's a lot harder to find"
"455170","455990"," help and support."
"456630","459770"," In contrast, Unity has like a bajillion tutorials"
"459770","460270"," out there. "
"461090","464190"," Oh, but Godot is 100% free, so"
"464190","466870"," you can publish and monetize your game with"
"466870","469370"," no subscriptions or royalties whatsoever."
"469870","471970"," No pro version with extra features."
"472430","474470"," You have access to the whole thing for"
"474470","474850"," free. "
"481540","485080"," So, now that you've chosen your engine, you"
"485080","487020"," can start working on your dream game, right?"
"487800","488440"," Wrong."
"489040","491500"," Don't start working on that dream game of"
"491500","493580"," yours unless you know for sure you know"
"493580","495680"," the engine well enough that it seems doable."
"496300","498760"," Otherwise, you'll just quit halfway when you realize"
"498760","500100"," it's harder than you expected. "
"500780","502520"," Try to remember this quote."
"503080","505080"," Don't learn the engine to make a game."
"505580","507260"," Make a game to learn the engine. "
"507860","508860"," That's a quote from me."
"509340","510220"," I made it up."
"510820","514080"," But essentially, the best way to learn any"
"514080","516919"," engine is by making very small and simple"
"516919","519600"," games and slowly increasing in complexity. "
"520340","522960"," You can't just watch a tutorial and expect"
"522960","525880"," to understand everything about the engine right away."
"526440","529040"," Oh yeah, speaking of which, let's talk about"
"529040","534900"," tutor- Tutorials won't make the game for"
"534900","537500"," you, and you shouldn't use tutorials to make"
"537500","538420"," your entire game."
"539040","541060"," If you're using a new engine for the"
"541060","544480"," first time, or really, any new program, then"
"544480","547520"," yes, you should probably watch a tutorial just"
"547520","549780"," to know the very basics and see where"
"549780","552540"," everything is and see what each button does. "
"553220","555620"," But beyond that, you should try to learn"
"555620","557520"," on your own as much as possible."
"558300","561320"," The fun of gamedev is experimenting and trying"
"561320","564140"," things out for yourself, seeing what works and"
"564140","564820"," what doesn't."
"565280","569140"," Because personally, I learn much better from first "
"569140","570080","-hand experience. "
"570600","572700"," But I didn't always knew that."
"573280","575340"," When I was a kid, I wanted to"
"575340","578160"," learn Game Maker, and so I watched a"
"578160","580020"," tutorial on how to make a full game"
"580020","582600"," from start to finish, and I followed it"
"582600","584000"," every step of the way."
"584600","587180"," But as soon as something didn't work, I"
"587180","588840"," had no idea what to do. "
"589340","592500"," That's because I learned nothing, and I remembered"
"592500","593140"," nothing."
"593800","596100"," All I was doing was copying the video."
"596880","598560"," So, don't do that. "
"599160","601360"," In short, when learning a new game engine,"
"601800","603820"," don't go into it with any goals in"
"603820","604080"," mind."
"604560","606180"," Just try things out and experiment."
"606980","609940"," Start by making extremely simple and basic games,"
"610360","612300"," and if there is one mechanic in particular"
"612300","614860"," that you're not able to implement, and you"
"614860","618200"," really tried, then yeah, you should go look"
"618200","618820"," up a tutorial. "
"621270","623750"," Before I finish this video, I'd like to"
"623750","627490"," touch on one last subject, and that's why"
"627490","628490"," should you make games?"
"629230","631770"," Now, we all have our own reasons for"
"631770","632430"," making games."
"633070","634910"," Maybe you want to make a shitty mobile"
"634910","637610"," game for ad money, or maybe you're just"
"637610","639750"," trying out a new hobby and making games"
"639750","640610"," just for yourself."
"641230","643750"," And that's good enough of a reason, but"
"643750","645570"," at the end of the day, games are"
"645570","646670"," made to be played. "
"647450","650710"," Undoubtedly, my favorite part of making games is"
"650710","652010"," seeing people play them."
"652790","656110"," There is genuinely no better feeling in the"
"656110","658330"," world than to see a loved one play"
"658330","660370"," and enjoy something that you made."
"660990","663530"," It makes all the pain and suffering you"
"663530","667110"," went through while making your game feel completely"
"667110","668050"," worth it in the end. "
"668970","670310"," Really, it's..."
"670310","671370"," it's the best."
"673070","674910"," So, what are you waiting for?"
"675670","678250"," Go out there and go make some games."
"679470","681770"," And make sure you have fun, alright? "
