"start","end","text"
"250","1790"," This video is sponsored by Squarespace."
"2230","4950"," Go to squarespace.com slash ThePlainBagel to save"
"4950","6750"," 10% off your first purchase of a"
"6750","9250"," website or domain using code ThePlainBagel."
"9390","10890"," If I were to ask you about stock"
"10890","13570"," trading, this would probably be the image that"
"13570","16130"," comes to mind, the New York Stock Exchange"
"16130","19030"," trading floor, a scene synonymous with stock investing"
"19030","19630"," itself. "
"20210","22310"," This is where traders meet in person to"
"22310","25010"," buy and sell stocks, finding deals for their"
"25010","27730"," clients and employers and yelling tickers and prices"
"27730","28910"," across the trading floor."
"29350","31130"," While this used to be how most trading"
"31130","33250"," was done, these days, you can do most"
"33250","34030"," of the work online."
"34610","37190"," And advancements in technology have even allowed everyday"
"37190","39690"," individuals to take up trading at home to"
"39690","40610"," try and make money. "
"41230","43630"," But despite the fact that trading involves stocks"
"43630","46290"," and other investments, it is often seen as"
"46290","49350"," a very different practice from investing, what you"
"49350","51010"," or I probably do when we buy or"
"51010","51610"," sell stocks."
"52250","54950"," You see, being a trader, whether professionally or"
"54950","57210"," as a hobby, is different from being an"
"57210","57650"," investor."
"58130","60150"," And while you've probably heard of people making"
"60150","62570"," quite a bit of money off trading, it's"
"62570","64190"," an area that most people are best served"
"64190","64570"," avoiding. "
"65190","65590"," Why?"
"65950","67810"," We'll answer that question and more on today's"
"67810","68410"," PlainBagel."
"71160","73100"," If you look at the literal definitions of"
"73100","76140"," the terms investing and trading, you probably won't"
"76140","77700"," grasp the difference between the two."
"78180","80120"," After all, investing is the act of spending"
"80120","82560"," money with the hope of generating some larger"
"82560","85180"," benefit or return in the future, while trading"
"85180","87280"," is the act of buying or selling investments. "
"87740","89380"," It's not very clear how the two differ."
"89940","92420"," In fact, there is no technical distinction dictating"
"92420","94320"," what counts as trading and what counts as"
"94320","94820"," investing."
"95480","97340"," But the terms are often used to refer"
"97340","99740"," to two very different approaches to making money"
"99740","100740"," from investments. "
"101300","103480"," An investor is someone who places their money"
"103480","105680"," in something and looks to profit from that"
"105680","106960"," asset growing over time."
"107500","109560"," Whereas a trader is someone who makes money"
"109560","111680"," in the short term by buying and selling"
"111680","112640"," stocks frequently."
"113180","115260"," In other words, while one relies on gradual"
"115260","118420"," appreciation, the other focuses on market volatility. "
"119220","120700"," Now, being a trader can mean a number"
"120700","121500"," of different things."
"121840","123780"," Many companies actually hire traders to help them"
"123780","125280"," carry out their investment decisions."
"125800","127800"," For example, an investment firm may decide they"
"127800","129539"," want to own shares of PlainBagel Co. "
"129740","131240"," So they'll hire a trader to help them"
"131240","132920"," get the best price for the shares."
"133520","135660"," In this video, however, we'll be focusing on"
"135660","138100"," traders who operate with the sole objective of"
"138100","139180"," making themselves money."
"139760","141460"," And there are two main areas wherein this"
"141460","143320"," practice differs from investing. "
"143680","146300"," The timing of trades and the analysis of"
"146300","146740"," stocks."
"147380","149520"," For timing, as we mentioned, investing is typically"
"149520","152520"," a long-term strategy, whereas trading is more"
"152520","153120"," short-term."
"153640","155800"," When you invest in a stock, you're betting"
"155800","157940"," that over time the company will grow, either"
"157940","160700"," by expanding its asset base or its profits. "
"161280","163160"," You can invest in a company for as"
"163160","165580"," little time as you want, but generally speaking,"
"165780","167420"," you'll be aiming to sell the stock two,"
"167740","170380"," five, 10, even 30 years from now."
"170940","172520"," On a day-to-day basis, the price"
"172520","173820"," of a stock may fluctuate."
"174040","175980"," And indeed, some investors try to take advantage"
"175980","178060"," of that by buying when the stock's price"
"178060","179180"," is abnormally low. "
"179700","181920"," But once the purchase is made, the focus"
"181920","184200"," tends to shift to the long-term movement"
"184200","186300"," rather than the short-term volatility."
"187240","189120"," Trading, on the other hand, is the fast"
"189120","190080"," and furious approach."
"190560","192740"," It involves buying and selling investments to take"
"192740","194780"," advantage of short-term price swings. "
"195440","198220"," Day trading, for example, involves individuals buying and"
"198220","199820"," selling stocks same day."
"199820","202420"," While swing trading expands the process to a"
"202420","205900"," few weeks, months, or sometimes years, there are"
"205900","207700"," other styles of trading as well, but they"
"207700","210300"," all tend to fall under fairly short timeframes,"
"210760","213140"," sometimes even making buys and sells within a"
"213140","214080"," matter of seconds."
"214640","217220"," Because of this, traders submit many more trades"
"217220","219720"," than investors and often cycle through many more"
"219720","220140"," positions. "
"220700","222860"," But selling something shortly after buying it doesn't"
"222860","224060"," alone make you a trader."
"224340","225840"," So let's move on to the second point"
"225840","227580"," of distinction, the analysis."
"228060","230220"," To understand how the analysis of a company"
"230220","232980"," and its stock price varies between traders and"
"232980","235460"," investors, we first need to explain the difference"
"235460","238520"," between a stock's price and its intrinsic value. "
"239020","241680"," Theoretically, the price of a stock only reflects"
"241680","244220"," the number of buyers and sellers trading that"
"244220","246420"," stock at that given point in time."
"246880","249180"," And past this stock price, there is some"
"249180","251640"," intrinsic value, a true worth of that stock"
"251640","254060"," that only an omniscient being would know."
"254580","256500"," Over time, the price of the stock should"
"256500","259440"," track closely to this intrinsic value as buys"
"259440","261860"," and sells factor in company information known by"
"261860","262500"," the investors. "
"263100","265480"," But human factors like fear or greed might"
"265480","267580"," lead a stock's price to deviate from its"
"267580","269040"," actual worth from time to time."
"269600","271760"," Within the world of investing, people take two"
"271760","273080"," approaches to this information."
"273680","276580"," Passive investors ignore short-term fluctuations in stock"
"276580","278700"," prices and look only to benefit from the"
"278700","281380"," rising intrinsic value, knowing that even if they"
"281380","284240"," do buy an overpriced stock, they should benefit"
"284240","286860"," in the longterm as the aggregate market grows. "
"287540","290080"," Active investors instead try to estimate a stock's"
"290080","292140"," intrinsic value so that they can buy the"
"292140","294560"," stock for less than its worth, allowing them"
"294560","297000"," to benefit not only from the rising intrinsic"
"297000","299320"," value, but also from the return of the"
"299320","301020"," price to its intrinsic level."
"301380","303360"," While these two approaches vary from one another,"
"303680","306080"," they both generally depend on the intrinsic value"
"306080","307120"," of a stock increasing."
"307880","310060"," Traders, on the other hand, only care about"
"310060","311080"," the stock's price. "
"311580","313540"," There is no attempt to estimate the intrinsic"
"313540","314600"," value of their stocks."
"314600","317280"," And indeed, many traders buy and sell stocks"
"317280","319980"," without even knowing what the company does, looking"
"319980","322040"," only to take advantage of the short-term"
"322040","324620"," swings or trends in its stock price."
"324980","327360"," For this reason, it's common for traders to"
"327360","329880"," focus their analysis on technical indicators. "
"330520","332560"," These are measures and gauges that only take"
"332560","335520"," into account historical pricing information to help the"
"335520","338500"," trader determine whether there's a developing trend or"
"338500","340460"," pattern that they can quickly exploit."
"340820","342940"," It's the graphs and charts you imagine when"
"342940","344960"," you think of a professional trader sitting in"
"344960","346960"," front of their four screens buying and selling"
"346960","347420"," stocks."
"347940","351120"," Now, some traders do incorporate qualitative information into"
"351120","353140"," their research as well, but it is usually"
"353140","355260"," only to take advantage of a short-term"
"355260","357600"," shift that they're expecting in the stock's price. "
"358100","359980"," For example, if a trader finds out that"
"359980","362060"," a company is announcing news tomorrow, they may"
"362060","363860"," decide to buy the stock with the belief"
"363860","366380"," that the company's announcement will be positive, leading"
"366380","367780"," to a jump in the stock's price."
"368380","370800"," In either case, traders generally only focus on"
"370800","373580"," snippets of a company's information rather than trying"
"373580","375760"," to develop a broader understanding of the firm's"
"375760","376340"," operations."
"376900","379540"," So, those are the two primary ways trading"
"379540","380740"," differs from investing. "
"381260","383800"," It requires a very different mindset and operates"
"383800","386340"," in a very fast-paced competitive environment."
"386940","388740"," Some would even argue that it requires a"
"388740","389720"," fair amount of bluffing."
"390140","392140"," This was more so the case when traders"
"392140","394080"," used to talk in person about the stocks"
"394080","396060"," they wanted to buy and sell, but even"
"396060","398400"," today, traders often try to hide their true"
"398400","400320"," intentions when they submit an order. "
"400820","402520"," After all, if you can convince other traders"
"402520","405040"," that you don't want to buy something, you"
"405040","405980"," may be able to get it for a"
"405980","408480"," lower price, just like with anything else."
"408840","411080"," All of this can make trading a very"
"411080","412640"," alluring practice for young investors."
"413160","416580"," I mean, competition, fast trades, quick payoffs, it's"
"416580","417080"," got it all. "
"417480","418520"," And with all the ads that we see"
"418520","421160"," online of millionaires and their private jets explaining"
"421160","423060"," how they went from zero to hero with"
"423060","426280"," their $300 trading strategy, it probably seems like"
"426280","427780"," a fairly easy field to enter."
"428180","430740"," But trading is a high-risk practice."
"431280","433240"," Most traders put a lot of money behind"
"433240","436620"," their individual trades, sometimes even borrowing to leverage"
"436620","439860"," their returns, which exposes them quite heavily to"
"439860","442380"," short-term volatility of individual positions. "
"443100","445060"," It also requires a lot of effort and"
"445060","445480"," time."
"445940","447940"," Many trades only end up yielding a fraction"
"447940","450800"," of a percentage point, meaning traders are continually"
"450800","452720"," rolling their money into new positions."
"453360","455900"," And honestly, when it comes to amateur traders,"
"456200","458120"," the truth is there just isn't that much"
"458120","458920"," working in your favor. "
"459220","461840"," With such a narrow timeframe, you're often forced"
"461840","464100"," to make decisions on fragmented information."
"464680","466440"," And when you consider that you're competing with"
"466440","469800"," industry professionals with copious amounts of money, cutting "
"469800","472740","-edge research, and even industry-best algorithms that"
"472740","474300"," can trade faster than you can say the"
"474300","477340"," word stock, it's just not a fair fight."
"477800","480060"," Now, I'm not saying you can't make money"
"480060","480480"," trading. "
"480840","482820"," There are people who make a full-time"
"482820","485600"," living from their home with trading activities."
"486140","488400"," And some companies even offer salaried positions for"
"488400","489660"," traders, like we mentioned earlier."
"490060","491780"," So there are some merits to the field,"
"492240","494500"," but trading is a lot like playing poker. "
"494960","496580"," You can be very good at it, and"
"496580","498200"," indeed, some people do make a living from"
"498200","500340"," it, but there's a lot of chance involved."
"500700","502280"," And with other great players at your table,"
"502760","504680"," the odds are often not in your favor."
"505160","507760"," So any advisor will probably tell you that"
"507760","509480"," investing is the better way to go for"
"509480","510320"," the average person. "
"510840","513280"," By carrying out more comprehensive research and holding"
"513280","515659"," over the long-term, you're more likely to"
"515659","517720"," benefit from the broad growth of the economy"
"518140","519760"," and the stock market as a whole."
"520220","522039"," Sure, you won't get that same rush as"
"522039","523840"," a tripled-levered buy on an out-of "
"523840","526500","-the-money put option, but that's probably for"
"526500","526920"," the best."
"527460","528920"," After all, if you're looking for the rush"
"528920","531340"," of high stakes and not-so-great odds,"
"531760","532840"," you may as well go to the casino. "
"533560","535360"," At least there, you'll get free drinks."
"535960","536620"," Thanks for watching."
"537060","538080"," If you like this video, make sure to"
"538080","538700"," hit the like button. "
"538840","540060"," If you like what we're doing here, make"
"540060","540740"," sure to subscribe."
"541200","542760"," Hit the bell icon if you want notifications"
"542760","543820"," about future videos."
"544160","545560"," If you have any feedback or topics you"
"545560","546900"," want me to cover in a future video,"
"547160","548180"," leave a comment down below. "
"548580","550340"," For The Plain Bagel, my name's Richard Coffin."
"550500","551460"," Thanks for joining me today."
"552680","554780"," So perhaps your trading venture isn't going to"
"554780","556260"," bring you the success and fortune you were"
"556260","558100"," hoping for, but maybe you have your own"
"558100","560140"," business you're trying to gain traction with, or"
"560140","561540"," maybe you're looking to get your name or"
"561540","563360"," your work out there for people to discover. "
"563880","566260"," While there's no surefire way to achieve success,"
"566520","568520"," there's no denying that having a website can"
"568520","570280"," help you with whatever you're working on."
"570280","572400"," And today's sponsor has a great all-in "
"572400","574040","-one tool to help you build your online"
"574040","574520"," presence."
"575060","577020"," Squarespace is a website builder with one of"
"577020","578980"," the best structured editors in the space. "
"579220","580720"," You can pick from one of over 70"
"580720","582900"," themes and just drop your own content in,"
"583040","584760"," so you don't need a graphic designer to"
"584760","586600"," end up with a professional-looking website."
"587160","589100"," They've also got a bunch of features, including"
"589100","592560"," email campaigns, appointment scheduling, and e-commerce capabilities"
"592560","594260"," that allow you to sell products through your"
"594260","594600"," page."
"594940","596660"," I use Squarespace for my own website, and"
"596660","598360"," I find it really easy to use, but"
"598360","599660"," don't just take my word for it. "
"599660","601620"," You can try their page builder yourself for"
"601620","601980"," free."
"602360","603860"," And if you do decide to launch, consider"
"603860","605580"," using coupon code ThePlainBagel."
"605860","607320"," It'll save you 10% off your first"
"607320","609600"," purchase of a website or domain, and it'll"
"609600","610180"," support the channel. "
"610520","611900"," So if you're looking to share something with"
"611900","614120"," the virtual world, do it with Squarespace. "
