"start","end","text"
"640","2360"," Heads is the bull and tails is the"
"2360","2620"," bear."
"2860","3660"," And tails is the bear."
"6040","8040"," Tails, you're going to show us your trading"
"8040","8200"," desk. "
"8360","8840"," Let's go."
"9560","11720"," Peter Tuchman is one of the most famous"
"11720","13540"," traders on the floor of the New York"
"13540","14240"," Stock Exchange."
"15340","17960"," He's known as the Einstein of Wall Street. "
"18440","20820"," And not just because of his looks."
"21140","23720"," The excitement, the adrenaline, we are the last"
"23720","25300"," human marketplace in the world."
"25800","26960"," So what's important is..."
"26960","29060"," He showed us why coming to the floor"
"29060","31900"," still gives traders like him an edge over"
"31900","33580"," people trading from home. "
"36460","37400"," How you doing?"
"38060","38580"," Good."
"41220","42440"," So this is me."
"42760","43660"," This is my spot. "
"44080","45340"," So I'll give you a little breakdown of"
"45340","46020"," what we do here."
"46440","48680"," This character was done to me back about"
"48680","49520"," seven years ago."
"49880","51140"," It's become my brand. "
"51620","53900"," Your first time that you came on this"
"53900","55040"," floor and you stood here."
"55520","57440"," Do you remember the emotion that you felt?"
"57660","58200"," And what was it?"
"58960","59360"," 100%."
"59360","60860"," I came on the floor. "
"60980","61920"," I had gotten a summer job."
"62040","63459"," I was working under the podium there."
"63900","65620"," It was a bit of fear and excitement,"
"65800","67340"," but the adrenaline came out and it was"
"67340","67820"," roaring. "
"68360","70220"," And I just said, I found where I"
"70220","71380"," want to spend the rest of my life."
"72260","73480"," Not a bit more clear."
"74100","74860"," You guys all right?"
"76700","78180"," I've been doing this for 40 years. "
"78320","80780"," In 1985, when I started here, I was"
"80780","81600"," a teletypist."
"81840","82800"," I went on to be a clerk."
"83080","85340"," And my goal was to become a broker,"
"85560","86520"," basically a trader. "
"87040","89700"," I still get butterflies in my stomach every"
"89700","91460"," morning when I come into work."
"91800","93000"," It's like being in the Super Bowl."
"93460","95840"," We are more relevant now than ever as"
"95840","97420"," brokers on the floor of the stock exchange"
"97420","100280"," because the more technology you use, people tend"
"100280","102120"," to get detached from the reality of the"
"102120","103040"," human part of the market. "
"103340","105140"," But the human element here is what made"
"105140","105680"," this place."
"108700","110900"," I have a trading strategy, which I trade"
"110900","113540"," on the close around the imbalances that only"
"113540","115320"," come to the floor of the stock exchange."
"115440","116720"," That's one of the reasons I'm here every"
"116720","118680"," day, because what we do and I do"
"118680","121080"," down here cannot be done off floor. "
"122080","124500"," And so I take that information, I analyze"
"124500","126020"," it and I convey it to the customers"
"126020","128380"," in a compliant way so that they're able"
"128380","129580"," to have some kind of an edge to"
"129580","130380"," trade the marketplace."
"130800","132420"," There came a wave of selling that sent"
"132420","134060"," the 2,000 men on the floor of"
"134060","136060"," the New York Stock Exchange scurrying."
"136360","139000"," In the old days, during open outcry on"
"139000","140460"," the floor of the stock exchange, when there"
"140460","142800"," were thousands of people down here trading and"
"142800","144520"," screaming and yelling, if there was ever a"
"144520","146880"," discrepancy or an argument around a trade, you"
"146880","148560"," called in a governor and a governor had"
"148560","150300"," what's called a flipping coin. "
"150840","152920"," Whether it was a $10 problem, a million"
"152920","154740"," dollar problem or whatever it was, you have"
"154740","156600"," to flip the coin and you have to"
"156600","157420"," live by the solution."
"157600","158740"," So I've had this in my pocket for"
"158740","160440"," a long time, for 37 years."
"161960","162740"," Is it reversing?"
"163260","164500"," No, market's getting smacked. "
"165280","167560"," How did you survive it for decades?"
"167740","168580"," How did you last?"
"169340","171520"," I've had to reinvent myself many times."
"171840","173420"," I've had to sort of bob and weave."
"173420","174520"," I had to be flexible. "
"175040","176700"," A lot of the people who I started"
"176700","178840"," out here with are no longer here."
"179140","181140"," Either they retired or they were not able"
"181140","182360"," to reinvent themselves."
"183520","186200"," There's been a huge transition over the years"
"186200","187880"," of what a floor trader does. "
"188520","190380"," We're standing, you know, in a place that"
"190380","193380"," in 1650, you know, they were trading stocks"
"193380","194940"," outside under the Buttonwood tree."
"195320","197060"," In 1903, they built this building."
"197660","200960"," We need to acknowledge that every industry has"
"200960","203320"," been outsourced a little bit by technology. "
"203880","206180"," We still have a plethora of human beings"
"206180","206480"," here."
"209580","212920"," What is the most problematic emotion that you"
"212920","214680"," deal with when you are trading?"
"215200","216880"," Obviously fear, right?"
"216960","218160"," The greatest emotion of all."
"218860","221220"," One of the biggest problems that day traders"
"221220","223360"," have is they get emotional about money. "
"223440","225300"," They get emotional about a trade, but it's"
"225300","225600"," money."
"225740","227100"," You make it, you lose it."
"228540","231540"," What was the biggest failure that you learned"
"231540","232380"," the most from?"
"233520","236500"," In 2006, I literally spent two years not"
"236500","237200"," making any money. "
"237940","239740"," The market was going into a rough time."
"240120","242720"," And so for me, it was really a"
"242720","245120"," struggle to find customers, to find business."
"245400","246760"," We were also going into a bit of"
"246760","249960"," a transition with technology entering into the marketplace. "
"250420","251800"," You really have to go out there and"
"251800","252800"," fight for the business."
"253340","255060"," And yet I got up every morning."
"255060","257019"," I knew opportunity was not going to find"
"257019","259500"," me, you know, cowering at home in bed,"
"259579","260640"," feeling sorry for myself. "
"261100","263380"," I figured one day things are going to"
"263380","263600"," turn."
"263680","264480"," And in fact, they did."
"265700","267000"," Did you ever have doubt that you weren't"
"267000","267520"," going to make it?"
