"start","end","text"
"190","1530"," And I could get a stock like RIM"
"1530","3570"," for maybe, that might cost me 15, 20"
"3570","6070"," million, Annie, to knock RIM down."
"6350","8150"," But it would be fabulous because it would"
"8150","10230"," be leader all the moron longs who are"
"10230","11650"," also keen on research and motion."
"11790","13690"," Hey, hey, hey, hey, who is he referring"
"13690","14410"," to here?"
"14770","17930"," Who are the morons, the idiots, the novice"
"17930","18310"," traders?"
"19270","20970"," It's a very quick way to make money"
"20970","21990"," and very satisfying. "
"22450","23730"," No one else in the world would ever"
"23730","24710"," admit that, but I didn't care."
"24850","26170"," That's right, and you can say that here."
"26310","27310"," I can't, I'm not gonna say it on"
"27310","27450"," TV. "
"29660","32080"," This clip is from a leaked video from"
"32080","34580"," one of the most controversial hedge fund manager."
"34800","36960"," His name is James Gramer, and he was"
"36960","39840"," just caught on camera explaining in detail how"
"39840","43440"," he manipulates the market and how he deceives"
"43440","46540"," small traders and leave them holding the bag."
"46660","48660"," This video was actually meant for the VIP"
"48660","51680"," members of his website, the street.com."
"51780","54060"," And it's actually one of those members who"
"54060","55440"," leaked this video on YouTube. "
"55900","58120"," And within days, it spread like wildfire."
"58540","60900"," I will show you the entire thing as"
"60900","62900"," I walk you through it word by word,"
"63180","66740"," explaining how hedge funds like Gramer's and banks"
"66740","70820"," like Barclays, Citibank, and JP Morgan make hundreds"
"70820","73920"," of millions of dollars each time they manipulate"
"73920","74540"," the market."
"74920","76860"," And do you know why I named these"
"76860","77960"," banks specifically?"
"77960","81780"," Well, because they already pleaded guilty to felony"
"81780","84760"," charges in one of the biggest forex scandals"
"84760","88220"," in history called the forex probe in 2015. "
"88920","91040"," And they were fined through the roof because"
"91040","91620"," of it."
"91740","94240"," Just make sure to watch until the end,"
"94520","97200"," and I will prove to you beyond a"
"97200","99960"," reasonable doubt that no matter which market you"
"99960","105080"," choose to trade, futures, commodities, stocks, crypto, or"
"105080","108160"," even forex, each and every one of them"
"108160","111260"," is manipulated the same way by a different"
"111260","111700"," player."
"112060","113660"," Let's dive right into it. "
"117320","118620"," Welcome to Wall Street Confidential."
"118720","120500"," I'm Aaron Task, joined again by Jim Kramer."
"120620","121020"," Jim, welcome. "
"121300","121920"," Good to see you."
"122260","123020"," Thanks for being here."
"123620","125100"," A lot of economic data out today, but"
"125100","126440"," I want to talk about something else first. "
"126620","128900"," Again, today we have the misdirection from the"
"128900","129240"," futures."
"129320","130800"," The futures point went up market and as"
"130800","132320"," of right now, it's actually down again."
"132400","134120"," Is this just because it's the holiday period"
"134120","134920"," that we're seeing this?"
"135240","136340"," You know, a lot of times when I"
"136340","138940"," was short at my hedge fund and I"
"138940","141180"," was positioned short, meaning I needed it down,"
"142140","147300"," I would create a level of activity beforehand"
"147300","148420"," that could drive the futures. "
"148620","149860"," It doesn't take much money."
"149940","152880"," If you understood what he just said, tell"
"152880","155260"," me, is he a buy and hold investor?"
"155540","156660"," No, of course not."
"156920","160540"," He's a professional, an institution, a hedge fund. "
"160740","163320"," But what is more interesting, he says he"
"163320","166440"," needed it down and it doesn't take much"
"166440","166820"," money."
"167140","169160"," Let us continue to see what he means"
"169160","169860"," by that."
"170140","171340"," Or if I were long and I would"
"171340","172660"," want to make things a little bit rosy,"
"172720","174480"," I would go in and take a bunch"
"174480","176700"," of stocks and make sure that they're higher"
"176700","178800"," and maybe commit 5 million in capital and"
"178800","180060"," do it and I could affect it. "
"180100","182340"," So of course, what you want to do"
"182340","183900"," requires a lot of money."
"184160","185160"," And that's the thing."
"185360","188260"," More money coming into a particular market than"
"188260","190860"," it's going out at a certain point in"
"190860","194480"," time, it's inevitable that this market is going"
"194480","195660"," up and vice versa. "
"195920","198240"," So he pushes them a little bit higher"
"198240","199840"," with a little bit of capital."
"200020","200500"," How much?"
"200820","202640"," 5 million to attract whom?"
"202860","204180"," The retail traders, right?"
"204540","207060"," That's what he means by making things a"
"207060","207960"," little bit rosy."
"208400","210380"," Let's watch what he's doing next. "
"210740","211860"," It probably is a bigger market now."
"211900","213220"," Maybe you need 10 million in capital and"
"213220","213980"," knock the stuff down."
"214120","216000"," But it's a fun game and it's a"
"216000","217020"," lucrative game. "
"217160","219920"," So he pushes the market first up to"
"219920","222660"," attract and trap all the retail traders and"
"222660","225560"," then he's shorting it with more money, 10"
"225560","228000"," million, to knock this stuff down."
"228400","230540"," And for him, it's just a fun game"
"230540","233580"," and a lucrative game because who is making"
"233580","234440"," the money here?"
"234720","238600"," The institutions because they control where the market"
"238600","241240"," is going and they push it to areas"
"241240","243460"," where they want the market to be."
"244040","245140"," Makes sense so far?"
"245480","246380"," Let's continue. "
"246380","248200"," You can move it up and then fade"
"248200","248400"," it."
"248520","250780"," That's what often creates a very negative feel."
"250880","252180"," So let's say you take a longer term"
"252180","254180"," view intraday and you say, listen, I'm going"
"254180","254960"," to boost the futures. "
"255079","256399"," And then when the real sellers come in,"
"256660","257800"," real market comes in, they're going to knock"
"257800","258100"," it down."
"258160","260240"," That's going to create a negative view."
"260700","262500"," That's a strategy very worth doing. "
"262720","264080"," I would encourage anyone who's in the hedge"
"264080","265880"," fund game to do it because it's legal."
"266220","266320"," Right."
"267440","268880"," Who is he referring to?"
"269280","270580"," Who are the sellers?"
"271040","272000"," The real market. "
"272380","274900"," Of course, the banks and institutions."
"275460","279100"," And he encourages all institutions to play exactly"
"279100","281660"," the same because he knows that they are"
"281660","282540"," doing it anyway."
"282880","284500"," And the best part, it's legal. "
"284740","287180"," They're just using the power of money."
"287480","290280"," More money coming in, it's going up."
"290360","292840"," More money going out, it's going down. "
"293140","295880"," Demand exceeds supply, it's going up."
"296100","297600"," Supply exceeds demand."
"297900","299100"," It's going down. "
"299400","300480"," That's the law."
"300800","302440"," Let me now explain the part where he"
"302440","304700"," says you can move it up and then"
"304700","308160"," fade it, especially the psychology behind it."
"308400","309720"," This is very interesting. "
"310280","311660"," Watch this candle with me."
"312180","315160"," You see that big explosive candle?"
"315620","317380"," You know this is caused by banks and"
"317380","317980"," institutions."
"318360","320700"," But are they buying this all the way"
"320700","320920"," up?"
"321120","322260"," No, of course not. "
"322340","324820"," They just have to initiate the move."
"324820","327600"," Remember, make it look a little bit rosy"
"327600","330840"," because they know that novice traders will get"
"330840","333780"," FOMO, the fear of missing out kicks in,"
"334000","336100"," and they just jump on the train wagon"
"336100","338540"," and they start buying at a premium to"
"338540","340120"," drive price even higher."
"340800","343980"," Which emotion is driving these actions in retail"
"343980","346200"," traders every single time?"
"346540","347660"," It's greed, of course. "
"348080","349100"," What is happening next?"
"349520","350740"," He fades it."
"351020","352460"," They're slowly pushing it down."
"352640","352820"," Why?"
"353120","355880"," Because this creates what emotion in novice traders?"
"356340","358400"," Fear, the fear of losing. "
"358540","359280"," That's correct."
"359560","361900"," Now again, are they shorting it all the"
"361900","362460"," way down?"
"362760","364040"," No, they don't have to."
"364240","367540"," They just initiate the move and the retail"
"367540","370200"," traders will sell all the way for them"
"370200","371920"," because they are afraid. "
"372260","373320"," They have fear."
"373600","375600"," Some of them might also short down here,"
"375740","377560"," which is causing that domino effect."
"377560","379920"," And by the way, which is the stronger"
"379920","380720"," emotion here?"
"380960","382260"," Fear or greed?"
"382540","383200"," Fear, right?"
"383640","385800"," That is why when the market starts to"
"385800","388020"," drop, it drops much quicker compared to when"
"388020","388760"," it goes up. "
"389060","391240"," That's why it's such a fabulous way to"
"391240","393560"," make a lot of money, play the fear"
"393560","396820"," in people, make quicker and bigger explosive candles."
"397220","399540"," So now you might ask yourself, well Bernd,"
"399680","402980"," we have discussed the banks and institutions, what"
"402980","405560"," they do, and we have seen what the"
"405560","408760"," novices do, but where are we, the professional"
"408760","410400"," retail traders in this equation?"
"410820","411840"," Now watch this."
"412240","414600"," Look at the screen and see what picture"
"414600","417240"," on the price chart you can identify. "
"417760","421080"," A rally in price, some basing, and a"
"421080","422380"," strong drop in price."
"422760","424480"," Rally, base, drop."
"424680","425300"," Exactly. "
