"start","end","text"
"230","1870"," This video is brought to you by Pynax,"
"2190","4650"," a cryptocurrency exchange with free built-in trading"
"4650","4910"," bots."
"5790","7630"," In this video, I'll be showing you the"
"7630","9750"," best strategies that you can use to earn"
"9750","11250"," profits on a ranging market."
"12150","14310"," So first, an important concept that you need"
"14310","16290"," to understand is that in the world of"
"16290","18650"," technical analysis, there are two types of markets"
"18650","19270"," that exist. "
"20110","22190"," Trending markets and ranging markets."
"23250","25010"," Trending markets is when the price is clearly"
"25010","26570"," moving in a definitive direction."
"27550","29610"," If it's going up, it's called an uptrend"
"29610","32290"," and if it's going down, it's called a"
"32290","33070"," downtrend. "
"33650","35630"," Now, usually, this is the type of market"
"35630","37850"," that traders prefer to trade on because the"
"37850","39990"," movement of a trending market tends to be"
"39990","40570"," more predictable."
"41950","43970"," On the other hand, you have ranging markets,"
"44590","46050"," which is a type of market where the"
"46050","49030"," price moves erratically without having a definitive direction."
"49770","52270"," Now, usually, traders tend to avoid this type"
"52270","53990"," of market because it's a lot harder to"
"53990","55710"," predict where the price will go next. "
"56250","58610"," Another reason on why traders tend to avoid"
"58610","61430"," ranging markets is because most indicators tend to"
"61430","62950"," not work properly on them."
"63209","65350"," An example of that will be the MACD"
"65350","65690"," indicator."
"66310","68410"," So here, if we try applying the MACD"
"68410","70410"," indicator on this ranging market, you can see"
"70410","72950"," that it's showing us multiple false signals and"
"72950","74870"," as a result, we ended up with mostly"
"74870","75590"," losing trades. "
"76830","80250"," Now, unfortunately, ranging markets are pretty much unavoidable."
"80830","83150"," In fact, study shows that the financial markets"
"83150","85350"," only trend about 30% of the time."
"85350","88050"," While moving on a sideways range about 70 "
"88050","88990","% of the time. "
"89070","91250"," This means that most of the time, markets"
"91250","93950"," are actually ranging and so instead of trying"
"93950","96450"," to avoid them altogether, why not try to"
"96450","97330"," take advantage of them?"
"97850","99590"," And that is why in this video, I'm"
"99590","101330"," going to show you the best strategies that"
"101330","103130"," you can use to earn profits on a"
"103130","103770"," ranging market."
"104090","106030"," So strap in because we're going to go"
"106030","106690"," very in-depth."
"108250","110770"," So first, in order to earn profits on"
"110770","112710"," a ranging market, we first need to know"
"112710","116150"," how to actually identify them and normally, ranging"
"116150","118170"," markets are a lot easier to be identified"
"118170","119950"," after they have already formed. "
"120350","122450"," But if they're still in the process of"
"122450","124490"," forming, it tends to be harder to spot."
"124910","126430"," And so a simple trick that I like"
"126430","128710"," to use to identify ranging markets as they're"
"128710","131050"," forming is to pay close attention to the"
"131050","131710"," market structure."
"132190","133210"," Let me show you an example. "
"134270","136570"," So here, we can see that initially, the"
"136570","138070"," market was clearly on an uptrend."
"138630","140950"," Now ask yourself this, why is this an"
"140950","141270"," uptrend?"
"142050","143330"," Well, it's because of how the price is"
"143330","143710"," structured."
"144610","146170"," Here, we can see that the price went"
"146170","148510"," up, made a pullback, and comes back up"
"148510","148870"," again. "
"149390","151750"," However, notice that as the price goes up,"
"151970","154490"," it actually breaks the previous highs and it"
"154490","157050"," did this multiple times, forming what's called a"
"157050","159710"," higher highs and higher lows, because the highs"
"159710","161730"," and lows of the price is constantly getting"
"161730","163670"," higher and higher, which is why this whole"
"163670","165610"," movement is classified as an uptrend."
"166590","168010"," But notice what happens next."
"168930","170610"," We can see that the price went up,"
"170990","173510"," comes back down, but this time, it failed"
"173510","174950"," to break above the previous highs. "
"176110","178050"," And again, you can see it happening the"
"178050","178670"," second time."
"179210","181730"," Price went up, comes back down, but failed"
"181730","183190"," to break above the previous highs."
"183810","185690"," And so at this point, we can clearly"
"185690","187730"," see that the market structure had already shifted. "
"188230","190130"," It went from forming higher highs and higher"
"190130","192370"," lows at first, to then failing to form"
"192370","194750"," another higher highs twice and started moving sideways."
"195770","198190"," So based on this market structure, we can"
"198190","200570"," already identify that the market is currently ranging."
"201390","202470"," Now let's look at another example. "
"203970","206130"," So here, we can see that initially, the"
"206130","208430"," price was on a clear downtrend, as it"
"208430","210030"," forms lower highs and lower lows."
"210970","213350"," Next, we can see that the price went"
"213350","216010"," down, comes back up, but failed to form"
"216010","216970"," another lower lows."
"217610","220010"," Then, we can see that the price goes"
"220010","222510"," back down the second time, comes back up,"
"222510","225010"," and again, failed to form another lower lows. "
"225710","227530"," And so based on this, we can clearly"
"227530","229750"," see that the market structure had already shifted."
"230350","232210"," It went from being on a clear downtrend,"
"232590","233790"," to now moving within range."
"234710","237770"," Now, once you've identified a ranging market, the"
"237770","239430"," next thing you want to do is drawing"
"239430","240130"," the key levels. "
"240710","241870"," And so you can draw a level of"
"241870","244450"," resistance above and a level of support below"
"244450","244830"," here."
"245530","247130"," Now, there are a couple of reasons on"
"247130","248530"," why we draw these key levels."
"248530","251150"," The first reason is because we want to"
"251150","253190"," determine the area of where the price is"
"253190","254350"," still considered ranging. "
"254810","256829"," Meaning, if the price goes out of one"
"256829","258709"," of these key levels, it shows us that"
"258709","260250"," the market is no longer ranging."
"261050","263710"," The second reason is because we're establishing our"
"263710","264230"," trading zone."
"264690","266350"," So as long as the price stays within"
"266350","268310"," this zone, we can still trade it using"
"268310","269550"," our range market strategy. "
"270250","272350"," But bear in mind, it's very rare to"
"272350","274950"," find ranging markets that moves perfectly between key"
"274950","275730"," levels like this."
"276310","278790"," Most ranging markets will actually look like this,"
"279170","280710"," where the price may not touch the key"
"280710","281410"," levels perfectly."
"281910","283610"," As you can see, there are some candles"
"283610","285970"," that overlap the levels, and even some that"
"285970","287450"," are not touching the levels at all. "
"287930","290710"," And this is perfectly fine, because remember, we're"
"290710","293110"," trading support and resistance as a general area,"
"293510","294630"," not as solid lines."
"295470","297930"," Now, once you've identified your key levels, the"
"297930","299730"," next step is finding your entry signal."
"300230","302110"," So for your entry signal, you want to"
"302110","304210"," take advantage of the price bouncing off those"
"304210","304750"," key levels. "
"304750","306310"," Let me show you an example."
"307470","309370"," So here, we can see that at first,"
"309670","311670"," the price was in a small uptrend before"
"311670","312830"," it started moving sideways."
"313530","314750"," And so we can draw a level of"
"314750","317130"," resistance above, and a level of support below"
"317130","317550"," here. "
"318210","320330"," Now, if you look closely, you'll actually notice"
"320330","320830"," a pattern."
"321350","323330"," Every time price hits a key level, it"
"323330","324490"," tends to reverse from it."
"324850","327130"," As you can see, price went down, hits"
"327130","328950"," the key level, and reverses upwards. "
"329670","331710"," Again, it went down, hits the key level,"
