"start","end","text"
"100","1100"," If you don't know how to play with"
"1100","3160"," time frames, you simply don't know how to"
"3160","3320"," trade."
"3420","4740"," It doesn't matter if you're a day trader,"
"4840","7840"," scalper, swing trader, you can't properly top down"
"7840","8880"," analysis a chart."
"9320","9980"," You cannot trade. "
"10080","11680"," It doesn't matter what type of trader you"
"11680","11880"," are."
"12000","12840"," And if you want to be able to"
"12840","14880"," be a sniper trader and constantly win in"
"14880","17080"," the markets and become profitable, you have to"
"17080","18840"," be able to properly do a top down"
"18840","20560"," analysis in the market so you can actually"
"20560","22560"," see what the market is doing on different"
"22560","23080"," time frames."
"23420","25300"," Now, before you become into a nerd or"
"25300","27320"," want to be expert on only one single"
"27320","29260"," time frame, I need you to realize that"
"29260","30860"," there's not only one time for him to"
"30860","32940"," be successful, you need to be able to"
"32940","35460"," manage multiple different time frames at the same"
"35460","35760"," time. "
"36060","37660"," And these are the main key time frames"
"37660","39400"," that you need to know for a top"
"39400","41560"," down analysis that is going to be the"
"41560","44560"," weekly time frame, the daily time frame, and"
"44560","46480"," the four hour time frame does not matter"
"46480","48380"," if you're a scalper, day trader, swing trader,"
"48580","50820"," you need to have these three main time"
"50820","53020"," frames in your top down analysis so you"
"53020","55100"," can properly understand the direction of the market,"
"55500","57160"," where it's headed and how you can find"
"57160","58280"," an edge in the market."
"58480","59880"," So now let's get into the video on"
"59880","61360"," how you can properly do a top down"
"61360","61720"," analysis."
"62100","63940"," And I'm also going to show you how"
"63940","66320"," to actually enter a trade with my personal"
"66320","69000"," entry signal that I use every single time"
"69000","70940"," I enter a trade and it raises my"
"70940","73880"," win rate by even 20 to 25 percent. "
"74180","75420"," So if you have a win rate of"
"75420","77700"," 40 to 50 percent, if you just add"
"77700","80400"," this extra entry stuff that I use, you're"
"80400","82860"," going to boost your win rate by 25"
"82860","84840"," to 30 percent, which can lead you to"
"84840","86900"," about a 70 percent winning strategy, which is"
"86900","87420"," crazy."
"87660","89160"," So now let's actually get into the markets"
"89160","90160"," right now where I'm going to show you"
"90160","92040"," how to properly do a top down analysis"
"92040","93860"," and you can actually have an edge over"
"93860","94220"," the market."
"94300","95020"," So let's get into it. "
"95360","97940"," So first things first is going to be"
"97940","101220"," the actual time frames to do the top"
"101220","102020"," down analysis."
"102160","104560"," So there is hundreds of different time frames."
"104560","106720"," You have the one minute, the two minute,"
"107100","108360"," the three minute, five, 15. "
"108480","110040"," You have all these different time frames."
"110160","112420"," You can almost even create custom time frames"
"112420","114860"," of your own liking, which is actually kind"
"114860","115320"," of bizarre."
"115660","116880"," Doesn't even make any sense in my opinion,"
"117080","118640"," but the possibility is there. "
"118700","120380"," And then also you can go down to"
"120380","122540"," the seconds and how many seconds and stuff,"
"122560","124280"," which is absolutely just ridiculous."
"124720","126460"," You notice here I have a star on"
"126460","129139"," every single time frame that I personally use"
"129139","131280"," for every single time I do a top"
"131280","133900"," down analysis on any pair on my watch"
"133900","134100"," list."
"134100","135500"," So this does not matter. "
"135680","137580"," The currency pair that you're trading doesn't matter"
"137580","141420"," if it's GBP, USD, Euro, USD, GBP, JPY,"
"141740","144140"," the same top down analysis applies to any"
"144140","146860"," pair, any commodity, any future."
"147260","149100"," Everything is exactly the same because it just"
"149100","151040"," consists of a top down analysis."
"151260","153300"," The simple analogy that I can put here"
"153300","155120"," is if you were to take a car"
"155120","157380"," into a shop to do the oil change,"
"157700","159400"," it has to pass by the same exact"
"159400","159920"," inspection. "
"160320","161700"," They have to see how much oil is"
"161700","162020"," in it."
"162020","163840"," How old is the oil in there?"
"164000","165640"," How many quarts of oil have to be"
"165640","167660"," added and what type of oil?"
"167820","168460"," It's the same thing."
"168540","169920"," It doesn't matter if it's a Rolls Royce"
"169920","171360"," or if it's a Honda Civic, they have"
"171360","173160"," to go through the same oil process to"
"173160","175360"," have the standard of what they should do"
"175360","175580"," next. "
"175940","176460"," Same thing here."
"176620","178480"," You have to go through the standard of"
"178480","180100"," what the time frames are doing to determine"
"180100","182020"," if you're interested in taking this trade."
"182540","184080"," So these are going to be the main"
"184080","185700"," time frames that I use, which is the"
"185700","188940"," 15 minute, 30, one hour, two hour, four"
"188940","191320"," hour, daily, weekly, and monthly. "
"191320","192420"," So I put a star on them."
"192580","194600"," So they stay on this top section here."
"194760","196920"," And I only focus on the ones that"
"196920","199580"," are needed for a proper top down analysis. "
"199760","201500"," So first things first, what is a top"
"201500","202040"," down analysis?"
"202280","203580"," Well, it's pretty self explanatory."
"203900","206240"," You have to start from the top down,"
"206280","206480"," right?"
"206480","207720"," It's a top down analysis."
"208000","210000"," So you want to start off from the"
"210000","212300"," highest of the time frame and work all"
"212300","212880"," your way down. "
"213020","214640"," So you were to start off from the"
"214640","216640"," weekly, then after the weekly, you would go"
"216640","217240"," to the daily."
"217240","218940"," Then from the daily, you would go to"
"218940","221420"," the four hour, the four hour, two, one,"
"221620","222620"," 30, 15 minutes."
"222780","224580"," It's just pretty much a ladder that goes"
"224580","226320"," from the highest time frame to the lowest"
"226320","226820"," time frame. "
"227020","228400"," But there's actually a very specific way on"
"228400","230580"," how to do it and what time frame"
"230580","231680"," do you divide from each."
"231860","233580"," Don't worry, it's going to make sense in"
"233580","234360"," literally just a second."
"234660","235880"," So for this video, we're going to be"
"235880","238200"," using the weekly, the daily, the four hour,"
"238360","240020"," the two hour, the one hour, the 30"
"240020","241360"," minute and the 15 minute. "
"241640","244900"," So this is actually divided right down the"
